Mineral,Tipo,2016,2017,2018,2019,2020 p/
Aluminio 1/,Metálico,14912766.25,-,-,-,-
Antimonio,Metálico,-,-,-,-,2374960
Bismuto,Metálico,92950889.22,100589145.79,61027258.96,35557185.66,-
Cadmio,Metálico,31012637.04,38171370.31,67290325.18,47194638.97,48478804
Cobre,Metálico,72119840101.81,86371917728.32,87683314443.74,82340499730.69,92332926274.8
Estaño,Metálico,8442.4,-,-,-,-
Fierro,Metálico,9874300899.73,7890967949.97,17447295967.99,40065804855.83,41785033067.47
Manganeso,Metálico,810468048.48,1085648306.2,1273461395,1085886874.78,1112078738.02
Molibdeno,Metálico,3154169328.98,4691829203.03,10267222756.61,11151176635.47,11804744981.72
Oro,Metálico,100129514003.31,97141845782.38,110951315624.3,115145876034.85,174922425685.45
Plata,Metálico,56254651959.12,60652320386.64,70322706645.04,78420119404.38,106000703192.98
Plomo,Metálico,8646494356.39,10652063365.5,9890015094.58,14459001144.61,18730224709.89
Selenio,Metálico,65928171.58,80183100,79899327,70005633,64759900
Tungsteno,Metálico,-,-,159809.75,51495.97,51495.97
Zinc,Metálico,26524397922.96,36713846177.08,37326583517.75,42281169012.75,49014994443.9
Agregados Pétreos,No Metálico,42405260986.81,83019763281.92,84520358143.79,388964198237.18,922431510181.65
Andesita,No Metálico,6940436585.55,7318883028.7,8221691165.54,20315844933.05,21864429247.85
Arcillas 2/,No Metálico,600485333.54,589947497,672500063.91,597682577.32,644849564.22
Arena,No Metálico,9094295861.26,21618264442.33,22889206807.15,19926249125.56,79010687059.82
Azufre,No Metálico,596995887.84,475644299.84,720897363.87,493904703.85,379649362.02
Barita,No Metálico,392957995.72,774017935.04,792159144.46,1056967187.93,1513685991.32
Basalto,No Metálico,76585779256.77,83307877123.77,83578427433.06,53352640121.12,523700681538.64
Bentonita,No Metálico,64746387.72,94013699.03,167670163.35,15835765.8,53205463.47
Calcita (carbonato de calcio),No Metálico,1143676757.97,1300740302.38,608601755.13,587517875.67,815242008.81
Caliza,No Metálico,29076688465.54,32861591238.67,76682194323.43,51880332946.41,245248134777.59
Cantera,No Metálico,103352978.55,259466388.52,145320893.19,16336551.65,3435906.34
Caolín,No Metálico,607820990,1055655606.51,3037638083.48,832341794.51,3292316116.3
Carbón,No Metálico,4107362497.07,4249417634.8,4637817514.84,3681584483.9,1308079564.21
Celestita,No Metálico,32115402.52,39732069.98,35182037.07,42301800,67428354.49
Diatomita,No Metálico,397838874.9,349750889.98,551263266.13,467837957.23,521884564.67
Dolomita,No Metálico,2692974688.4,2426420284.39,2339198882.26,1047956995.19,2488050288.3
Feldespato,No Metálico,125988051.38,125693718.89,228329350.42,444960952,778717756.41
Fluorita,No Metálico,2047588417.13,2401510155.93,6332997977.56,5332682591.98,4464187096.75
Fosforita,No Metálico,3928107809.78,2832382078.83,885201201.97,1254000750.52,451527743.2
Grafito,No Metálico,56362592.33,44979422.76,24528395.8,14536068.99,13191399.08
Grava,No Metálico,5288488099.66,9680826626.62,9964226180.19,9983045014.71,65132853146.36
Magnesita,No Metálico,240803738.09,257106151.16,257106151.16,2094116.87,-
Mica,No Metálico,618268.89,270772.92,761110.92,1142546.86,433780.88
Olivino,No Metálico,9572665.96,9921736.87,9091782.7,11153891.23,5966582.89
Perlita,No Metálico,29067435.73,17355360.44,47459491.2,45284741.09,-
Pizarra,No Metálico,32149410.22,45061445.84,43874283.7,24105062.37,16919224855.47
Puzolana,No Metálico,36571543.44,39794539.27,44887395.15,-,31380824.61
Riolita,No Metálico,2967591324.24,3075127850.39,2981436072.07,4190688073.3,34873303545.56
Rocas Dimensionales,No Metálico,2682218391.45,3018086384.1,2525195747.14,2058720931.92,638917230.54
Sal,No Metálico,3545286027.55,2696091674.75,2692740948.58,3111224979.88,3543406471.45
Sílice 3/,No Metálico,1548488583.28,518392116.14,889300680.62,1918969086.64,2486636592.26
Sulfato de Magnesio,No Metálico,169921884.63,175814184.32,176823898.71,219015094.14,227125100
Sulfato de Sodio,No Metálico,2152961828.95,4377770127.46,2150851157.2,2315481307.66,4759728649.04
Talco,No Metálico,19296291.46,8508338.01,31972179.27,28026738,113335656.53
Tepetate,No Metálico,39512287.96,157931046.09,143809109.14,1541111027.43,5370071648.34
Tepojal,No Metálico,5298000,6296000,6447000,-,-
Tezontle,No Metálico,1671261500,2477974037.96,2387802092.86,593494206.37,1605796479.47
Tierras Fuller,No Metálico,124723709.13,132150685.42,-,-,-
Toba,No Metálico,-,1180699537.88,1217345383.46,123204496.59,75834035.52
Vermiculita,No Metálico,1008562.55,1611789.66,845842.2,528654.5,383188.79
Wollastonita,No Metálico,322462329.41,386970688.01,566404511.93,690546549.02,562246265.94
Yeso,No Metálico,1270934157.02,1551872894.49,1886282264.93,1291903664.19,1332791630.18
Zeolita,No Metálico,3008242.67,5336457.56,186060351.28,41259909.6,50538893.7
