Mineral,Tipo,2014,2015,2016,2017,2018 p/
Aluminio 1/,Metálico,13862400,14427985.92,14912766.25,-,-
Bismuto,Metálico,297192951.35,135456643.85,92950889.22,100589145.79,61027258.96
Cadmio,Metálico,36372235.36,29876481.82,31012637.04,38171370.31,67290325.18
Cobre,Metálico,46933913500.01,51605778050.83,72119840101.81,86371917728.32,87683314443.74
Estaño,Metálico,-,-,8442.4,-,-
Fierro,Metálico,9766292226.97,9433714454.65,9874300899.73,7890967949.97,17447295967.99
Manganeso,Metálico,624478969.76,468013351.05,810468048.48,1085648306.2,1273461395
Molibdeno,Metálico,4785582054.5,2582836509.38,3154169328.98,4691829203.03,10220957303.72
Oro,Metálico,63742670053.6,79573285386.31,100129514003.31,97141845782.38,110849270444.21
Plata,Metálico,46909884037.85,47547661545.72,56254651959.12,60652320386.64,70412848613.71
Plomo,Metálico,6976999249.59,7437800601.22,8646494356.39,10652063365.5,9981816425.17
Selenio,Metálico,89629917.73,59574102.78,65928171.58,80183100,79899300
Tungsteno,Metálico,-,-,-,-,159809.75
Zinc,Metálico,18987796532.62,23988810147.37,26524397922.96,36713846177.08,37830212497.27
Agregados Pétreos,No Metálico,49248158442.56,43647481547.4,42405260986.81,83019763281.92,88602691442.13
Andesita,No Metálico,1900783579.2,6607130877.36,6940436585.55,7318883028.7,8618798848.84
Arcillas 2/,No Metálico,1035030035.08,552875687.65,600485333.54,589947497,672500063.91
Arena,No Metálico,15422666948.93,9433716336.6,9094295861.26,21618264442.33,22889206807.15
Azufre,No Metálico,1072375699.87,1384652934.86,596995887.84,475644299.84,720897363.87
Barita,No Metálico,212146547.27,569324119.04,392957995.72,774017935.04,1127148386.8
Basalto,No Metálico,29214332765.37,58921816588.75,76585779256.77,83307877123.77,87615265478.08
Bentonita,No Metálico,291925994.84,168823100.19,64746387.72,94013699.03,175768632.24
Calcita (carbonato de calcio),No Metálico,2449991309.88,1206040001.9,1143676757.97,1300740302.38,608601755.13
Caliza,No Metálico,19427308081.31,44302163818.23,29076688465.54,32861591238.67,76682194323.43
Cantera,No Metálico,317068356.21,124328537.42,103352978.55,259466388.52,185373879.32
Caolín,No Metálico,886813789.14,834606639.24,607820990,1055655606.51,3085664371.48
Carbón,No Metálico,5478820755.87,3587839655.02,4107362497.07,4249417634.8,4486173325.92
Celestita,No Metálico,46043603.04,66546517.18,32115402.52,39732069.98,35182037.07
Diatomita,No Metálico,319761030.8,332249689.03,397838874.9,349750889.98,551164276.34
Dolomita,No Metálico,1651611713.13,2039770926.44,2692974688.4,2426420284.39,2312338489.31
Feldespato,No Metálico,88608973.84,93755144.62,125988051.38,125693718.89,289818829.02
Fluorita,No Metálico,2697808503.05,1430356975.61,2047588417.13,2401510155.93,6320409893.46
Fosforita,No Metálico,1435826337.38,1988801569.39,3928107809.78,2832382078.83,992194037.1
Grafito,No Metálico,26101161.87,22362397.41,56362592.33,44979422.76,23561863.45
Grava,No Metálico,12635814232.52,6130723742.57,5288488099.66,9680826626.62,9964226180.19
Magnesita,No Metálico,228116863.6,232975752.8,240803738.09,257106151.16,269524378.26
Mica,No Metálico,259667.94,245359.84,618268.89,270772.92,797872.58
Olivino,No Metálico,19808030.58,5594537.12,9572665.96,9921736.87,9530915.8
Perlita,No Metálico,25181529.26,12858947.91,29067435.73,17355360.44,47459491.2
Pizarra,No Metálico,58652653.52,65075253.42,32149410.22,45061445.84,45993411.61
Puzolana,No Metálico,30564464,35382685.22,36571543.44,39794539.27,47055456.33
Riolita,No Metálico,2099525166.97,1923358272.79,2967591324.24,3075127850.39,3125439434.36
Rocas Dimensionales,No Metálico,7760419023.93,1885546032,2682218391.45,3018086384.1,2525195747.14
Sal,No Metálico,2452977573.13,2865564885.77,3545286027.55,2696091674.75,3096221193.03
Sílice 3/,No Metálico,1243388913.39,851218961.11,1548488583.28,518392116.14,901358887.34
Sulfato de Magnesio,No Metálico,123865601.14,128925848.21,169921884.63,175814184.32,176823898.71
Sulfato de Sodio,No Metálico,1482322507.95,1812965608.98,2152961828.95,4377770127.46,8102483724.04
Talco,No Metálico,796356683.03,22117412.72,19296291.46,8508338.01,31972179.27
Tepetate,No Metálico,39385714.1,40020711.91,39512287.96,157931046.09,143809109.14
Tepojal,No Metálico,3973223.62,5116000,5298000,6296000,6447000
Tezontle,No Metálico,1320939108.01,1967991673.38,1671261500,2477974037.96,2387802092.86
Tierras Fuller,No Metálico,259278230.07,116890782.56,124723709.13,132150685.42,-
Toba,No Metálico,-,-,-,1180699537.88,1217345383.46
Vermiculita,No Metálico,672432.37,941152.13,1008562.55,1611789.66,886696.38
Wollastonita,No Metálico,143103884.39,183419059.96,322462329.41,386970688.01,568672563.31
Yeso,No Metálico,628516844.35,813275029.21,1270934157.02,1551872894.49,1875993336.42
Zeolita,No Metálico,1392137.26,1400651.24,3008242.67,5336457.56,186060351.28
