Mineral,Tipo,2010,2011,2012,2013,2014 p/
Aluminio 1/,Metálico,1430560.63,981273.36,6968947.3,-,-
Antimonio,Metálico,8254900,848200,-,-,-
Bismuto,Metálico,214889400,287301800,233442400,187789420.22,297192951.35
Cadmio,Metálico,71583000,50914300,39276100,35676115.31,36372235.36
Cobre,Metálico,25802463379.15,48079187714.98,52294997282.61,44846653223.71,46933913500.01
Fierro,Metálico,7087859800,7078420902.87,8702726800,11045383182.31,9766292226.97
Manganeso,Metálico,730535700,518525700,537787800,645198561.78,624478969.76
Molibdeno,Metálico,4716224800,4498101000,4174350500,3633576141.13,4785592054.5
Oro,Metálico,39660882800,56086974908.84,72598809439.92,68321883401.65,63742670053.6
Plata,Metálico,36466112600,67253493038.24,70597439743.12,56721088860.35,46909884037.85
Plomo,Metálico,5233067600,6633494402.69,6463618602.82,6931451459.79,6976999249.59
Selenio,Metálico,65222600,163205900,140609500,121130635.37,86929917.73
Zinc,Metálico,15571106100,17139703489.89,16923063843.6,15676460032.76,18987796532.62
Agregados Pétreos,No Metálico,5218430699.44,6326192024,7138246926.32,8183432368.66,10957473157.19
Arcillas 2/,No Metálico,945588225.73,834215062.79,944077031.3,921153489.96,1031530919.95
Arena,No Metálico,9125472559.77,9299558332.11,10209048648.06,10383524598.7,12956309958.51
Azufre,No Metálico,1214529900,2152357065.04,1877766483.82,1278448293.04,1072375699.87
Barita,No Metálico,208178700,188967000,188180700,165427147.27,217146547.27
Basalto,No Metálico,256869028,240033821.64,107680626.31,94768948.14,88168320.45
Bentonita,No Metálico,285668357.37,283733601.05,489405925.76,446335875.45,266307856.06
Calcita (carbonato de calcio),No Metálico,1259764525.04,1728737516.51,2001863371.23,2687871557.24,2592655847.48
Caliza,No Metálico,4320528077.13,4006670741.25,4014023844.18,3900564428.21,4231136205.61
Cantera,No Metálico,113119397.57,88902578.86,165092186.2,179144832.42,282231046.88
Caolín,No Metálico,1130275644.9,936697864.19,1064527988.75,1522791008.93,1413134567.53
Carbón,No Metálico,5650597800,7025579800,4716146800,5023932378.54,5471263757.72
Celestita,No Metálico,18287900,23024600,30861100,45570393.53,46043603.04
Diatomita,No Metálico,245077000,257490200,278035000,297982461.58,319761030.8
Dolomita,No Metálico,140025200,269486600,223605000,998778032.64,983928355.95
Feldespato,No Metálico,209308400,203971100,223124600,97234397.11,88608973.84
Fluorita,No Metálico,2153888500,2533102100,3064955000,2398336783.57,2692988503.05
Fosforita,No Metálico,1277852300,1108674700,1241390100,1480200412.75,1376645593.29
Grafito,No Metálico,15692600,17891800,19367200,18863890.06,26101161.87
Grava,No Metálico,8112247311.29,7618055339.62,8187311970.5,7771289751.36,11474117728.2
Ignimbrita,No Metálico,2903371,1347190.34,-,-,-
Magnesita,No Metálico,-,-,206740643,225414690,224462521.16
Mica,No Metálico,223414.69,-,4069912,204083.22,229667.94
Olivino,No Metálico,-,-,4604774,-,-
Perlita,No Metálico,26481487.42,26678449.63,26912017,26017047.37,19808093.08
Pizarra,No Metálico,19713815.58,17802494.06,7682518,6762613.26,6398880.82
Rocas Dimensionales,No Metálico,4348203639.03,4348203639.03,4367592647.8,4219096788.26,7760419023.93
Sal,No Metálico,2276467864.9,2078330348.06,2421434774.08,2397745964.26,2452977573.13
Sílice 3/,No Metálico,1306931100,1232138400,1740599400,1428886530.9,1243388913.39
Sulfato de Magnesio,No Metálico,97351500,116408500,114135000,124815381.33,123855601.14
Sulfato de Sodio,No Metálico,857217900,1339488500,1369001500,1432961299.88,1482322507.95
Talco,No Metálico,792606.81,48584742.08,455058597.01,861520149.31,796356683.03
Tepetate,No Metálico,17897534.05,18757814.93,20923179.44,43630824.95,39424139.62
Tepojal,No Metálico,17848116.02,21901857.48,23820143.18,18634107,3973223.62
Tezontle,No Metálico,85609164.34,73922427.07,172261222.74,247172499.87,166788073.13
Tierras Fuller,No Metálico,155015456.42,101787674.18,223230380.36,311467723.78,259278230.07
Vermiculita,No Metálico,251420.65,643734.15,1383227.1,1817759.49,672423.37
Wollastonita,No Metálico,97727500,91290500,122652300,141337703.68,143103884.39
Yeso,No Metálico,668895372.98,588760687.2,964351938.06,814057655.34,805554047.43
Zeolita,No Metálico,1281341.31,1200661.66,1291584.23,1136929.93,1392137.26
