Mineral,Tipo,2006,2007,2008,2009,2010 p/
Aluminio 1/,Metálico,900000,900000,1100000,1300000,1430560.63
Antimonio,Metálico,45779100,25618600,26141000,4406300,8254900
Arsénico,Metálico,13778300,4526500,-,-,-
Bismuto,Metálico,133718200,373039500,313023169.4,183733908.66,214889400
Cadmio,Metálico,45867400,130781200,99219728.3,57943000,71583000
Cobre,Metálico,23619126500,25931188800,20199189103.73,16590304800,25937033900
Estaño 2/,Metálico,2509600,3102600,3165900,-,-
Fierro,Metálico,3546039400,4695318515.94,6259436425.79,4884608700,7087859800
Manganeso,Metálico,195577000,216127700,1006998793.17,370262500,730535700
Molibdeno,Metálico,1456059700,4667295600,5289415210.03,3293275300,4716224800
Oro,Metálico,7628188800,9622240500,15698429385.36,26422111300,39660882800
Plata,Metálico,9777994200,11037250100,13972569039.65,22724377700,36466112600
Plomo,Metálico,1663337300,2489405500,2271629572.23,3344624400,5233067600
Selenio,Metálico,-,-,-,-,65222600
Zinc,Metálico,15456394600,15126205800,8098713300.96,10881948100,15571106100
Agregados Pétreos,No Metálico,1940501836.78,2219910222.69,2139743848.63,4825052001.88,5218430699.44
Arcillas 3/,No Metálico,3296611748.29,3375630770.76,3841883189.19,1005660988.39,945588225.73
Arena,No Metálico,4310996386.44,4990496241.04,5688854125.25,8824344895.69,9125472559.77
Azufre,No Metálico,454003600,443812900,3352724600,49468800,1214529900
Barita,No Metálico,225540100,228159400,156325667.22,229865600,208178700
Basalto,No Metálico,-,-,-,263749200,256895028
Bentonita,No Metálico,176747050.69,258651205.09,168285231.25,238686733.98,285668357.37
Calcita (carbonato de calcio),No Metálico,642102823.27,855428323.6,862944514.28,975841021.25,1259764525.04
Caliza,No Metálico,3847537657.13,3563737947.09,3938992531.17,3998851950.09,4320528077.13
Cantera,No Metálico,92135837.37,108515566.03,107772985.85,118444657.35,113119397.57
Caolín,No Metálico,1021504999.9,1069609075.26,810470578.74,914848018.6,1130275644.9
Carbón,No Metálico,3053289000,5177508300,5237795133.33,4879781000,5650597800
Celestita,No Metálico,64316400,48726200,15188162.53,22376200,18287900
Diatomita,No Metálico,149499100,203183300,329523129.92,213736400,245077000
Dolomita,No Metálico,102729700,99816900,114357142.92,94389700,140025200
Feldespato,No Metálico,171360800,174646900,170839064.43,175887100,209308400
Fluorita,No Metálico,1253461600,1292066800,1596394991.88,2052332800,2153888500
Fosforita,No Metálico,2369164.29,36235407.1,508047628.55,1252483500,1277852300
Grafito,No Metálico,15489700,13673900,13288805.37,12468300,15692600
Grava,No Metálico,5361013249.49,6460274092.58,7908016967.52,8035443196,8112247311.29
Ignimbrita,No Metálico,-,-,-,-,2903371
Mica,No Metálico,175953.26,11684422.78,6483028.95,6741053.5,223414.69
Olivino,No Metálico,-,7045602.96,7118790.07,-,-
Perlita,No Metálico,57205727.37,39517116.4,33411886.44,41351288.07,26481487.42
Pizarra,No Metálico,792355,20545703.33,17896251.34,17010356.62,19713815.58
Rocas Dimensionales,No Metálico,7022200930.06,5863894125.99,2209875030.63,1331230847.66,4348203639.03
Sal,No Metálico,1125770486.47,1504198895.5,1481327684.26,2113837700,2276467864.9
Sílice 4/,No Metálico,1095746400,1180876200,1152299855.5,1288879500,1306931100
Sulfato de Magnesio,No Metálico,42164000,44223300,85374576.06,90424800,97351500
Sulfato de Sodio,No Metálico,623500800,655771900,718387966,888468000,857217900
Talco,No Metálico,31022690.05,25737233.33,14869438.43,29398778.41,792606.81
Tepetate,No Metálico,29426303.71,26975760.76,20439373.82,14382686.01,17897534.05
Tepojal,No Metálico,15097000,16922000,20205000,19635200,17848116.02
Tezontle,No Metálico,116287391.12,98640926,99611844.1,106906359.01,85609164.34
Tierras Fuller,No Metálico,78279337.72,27107263.18,55872953.01,95012607.82,155015456.42
Vermiculita,No Metálico,381831.74,229143.43,314097.61,720831.71,251420.65
Wollastonita,No Metálico,110042900,125699100,102437187.1,64384410.82,97727500
Yeso,No Metálico,520192416.52,607948461.81,645157079.55,808159615.63,668895372.98
Zeolita,No Metálico,-,367500,1230421.5,1279392.28,1281341.31
