Mineral,Tipo,2008,2009,2010,2011,2012 p/
Aluminio 1/,Metálico,1100000,1300000,1430561,981273,6968947
Antimonio,Metálico,26141000,4406300,8254900,848200,-
Bismuto,Metálico,313023169,183733909,214889400,287301800,233442400
Cadmio,Metálico,99219728,57943000,71583900,50914300,39276100
Cobre,Metálico,20199189104,16590304800,25802463379,48079187715,52294997283
Estaño 2/,Metálico,3165900,-,-,-,-
Fierro,Metálico,6259456426,4884608700,7087859800,7078420903,8702726800
Manganeso,Metálico,1006998793,370262500,730535700,518525700,537787800
Molibdeno,Metálico,5289415210,3293275300,4716224800,4498101000,4174350500
Oro,Metálico,15698429385,26422111300,39660882800,56086974909,72598809440
Plata,Metálico,13972569040,22724377700,36466112600,67253053038,70597439749
Plomo,Metálico,2271629572,3344624400,5233067600,6633494403,6463618603
Selenio,Metálico,-,-,65222600,163205900,140609500
Zinc,Metálico,8098713301,10881948100,15571106100,17139703490,16923063844
Agregados Pétreos,No Metálico,2139743849,4825052002,5218430699,6326192024,7138246926
Arcillas 3/,No Metálico,3841883189,1005660988,945588226,834215063,944077031
Arena,No Metálico,5688854125,8824344896,9125472560,9299558332,10209048648
Azufre,No Metálico,3352724600,49468800,1214529900,2151908500,1875910800
Barita,No Metálico,156325667,29895650,208178700,188967000,188180700
Basalto,No Metálico,-,263749200,256869028,240033822,107680626
Bentonita,No Metálico,168285231,238686734,285668357,238733601,489465526
Calcita (carbonato de calcio),No Metálico,862944514,975841021,1259764525,974287517,2001863371
Caliza,No Metálico,3938992531,3998851950,4320528077,4006670741,4014023844
Cantera,No Metálico,107772986,118444657,113119398,88902579,165092186
Caolín,No Metálico,810470579,914848019,1130275645,936697864,1064527988
Carbón,No Metálico,5237795133,4879781000,5650597800,7029579800,4716146800
Celestita,No Metálico,15188163,22376200,18287900,23024600,30861100
Diatomita,No Metálico,329523130,213736400,245077000,257490200,278035000
Dolomita,No Metálico,114357142,94389700,140025200,269486600,223604800
Feldespato,No Metálico,170839064,175887100,209308400,203971100,223124600
Fluorita,No Metálico,1596394992,2052332800,2153888500,2533102100,3064955000
Fosforita,No Metálico,508047629,1252483500,1277852300,1108674700,1241390100
Grafito,No Metálico,13288805,12468300,15692600,17891800,19367200
Grava,No Metálico,7908016968,8035443196,8112247311,7618055340,8187311970
Ignimbrita,No Metálico,-,-,2903371,1347190,-
Magnesita,No Metálico,-,-,-,-,206740643
Mica,No Metálico,6483029,6741054,223415,-,4069912
Olivino,No Metálico,7118790,-,-,-,4604774
Perlita,No Metálico,33411886,41351288,26481487,26678449,26912017
Pizarra,No Metálico,17896251,17010357,19713816,17802494,7682518
Rocas Dimensionales,No Metálico,2209875031,1331230848,4348203639,4348203639,4367592648
Sal,No Metálico,1481327684,2113837700,2276467865,2078330348,2421434774
Sílice 4/,No Metálico,1152299856,1288879500,1306931100,1232138400,1740599400
Sulfato de Magnesio,No Metálico,85374576,90424800,97351500,116408500,114135000
Sulfato de Sodio,No Metálico,718387966,888468000,857217900,1339488500,1369001500
Talco,No Metálico,14869438.43,29398778.41,792607,48584742,455058597
Tepetate,No Metálico,20439373.82,14382686.01,17897534.05,18757315,20923179
Tepojal,No Metálico,20205000,19635200,17848116.02,21901857,23820143
Tezontle,No Metálico,99611844.1,106906359.01,85609164.34,73922427,172261223
Tierras Fuller,No Metálico,55872953.01,95012607.82,155015456.42,101787674,223230380
Vermiculita,No Metálico,314097.61,720831.71,251420.65,643734,1383227
Wollastonita,No Metálico,102437187.1,64384410.82,97727500,91290500,122652300
Yeso,No Metálico,645157079.55,808159615.63,668895372.98,588760687,964351938
Zeolita,No Metálico,1230421.5,1279392.28,1281341.31,1200662,1291584
