Mineral,Tipo,2000,2001,2002,2003,2004 p/
Aluminio 1/,Metálico,1244849261.21,719988617.25,543112395.54,401678845,900000
Antimonio,Metálico,773700,1078900,2953400,10262000,16493000
Arsénico,Metálico,18937500,17642400,14917900,14794100,14565700
Bismuto,Metálico,82258700,104330700,72432800,73426600,78227200
Cadmio,Metálico,4501500,6686600,8698200,22859250,21968500
Cobre,Metálico,6233073300,5533592600,5080290700,8623889800,11398862100
Estaño 2/,Metálico,62417786.42,77715285.1,73010594,99682134.9,2486544.12
Fierro,Metálico,1591993400,1192085900,1447570500,1930156600,2270121200
Manganeso,Metálico,358300000,216512500,198457400,124531400,80871200
Molibdeno,Metálico,364107600,261839600,263250700,447387100,1504897800
Oro,Metálico,2199371900,2094420700,2276540100,2806877500,3625870900
Plata,Metálico,4142648800,3991931200,4282205100,5034874800,5750640800
Plomo,Metálico,1458691900,1334091200,1287232500,807566400,1410433700
Titanio,Metálico,15935400,16875600,3459500,4000598800,-
Zinc,Metálico,4163143300,3872222300,3550788300,4605311800,5286858200
Arcillas 3/,No Metálico,620138794.4,885785892.03,936257077.28,924650834.98,1013121666.89
Arena,No Metálico,4284349791.54,4487564583.51,4453540606.44,4151903575.36,4186680600
Azufre,No Metálico,514675100,576402200,602474200,3760475495.85,4071583300
Barita,No Metálico,93559900,106065500,126452400,165044248.96,212503638.82
Bentonita,No Metálico,131416730.73,211158423.99,232768990.48,2622104948.73,5771719168.11
Calcita,No Metálico,200032877.91,690527550.63,784318938.97,742711471.28,2743000671.6
Caliza,No Metálico,2400361979.48,2724450894,2701269418.07,2293604000,5615276688.69
Caolín,No Metálico,215659353.81,288351635.36,333319198.6,24265000,2394692500
Carbón,No Metálico,2293568400,2111875900,2030078300,11430800,53399400
Celestita,No Metálico,84527700,76530600,51096200,46683800,125190000
Diatomita,No Metálico,11197800,12406700,15359900,173157800,95563000
Dolomita,No Metálico,80329200,133488600,91075300,583849800,189865300
Feldespato,No Metálico,146456700,142301200,164016000,1689800,768846700
Fluorita,No Metálico,811994700,645585100,649542600,10512600,124400
Fosforita,No Metálico,378318700,283949400,1778800,5209588608.16,19169700
Grafito,No Metálico,65271100,45539600,30515800,4925932084.34,5539097609.4
Grava,No Metálico,3268989063.32,3887692857.28,4906019815.42,519483.79,4108411142.92
Magnesita,No Metálico,178691.54,139087.15,-,119232241.38,461944.18
Mármol,No Metálico,1262212284.59,5293453739.82,4868116718.16,974316000,122145666.65
Mica,No Metálico,1484632.32,605753.76,450999.43,676516700,1052676700
Perlita,No Metálico,36711528.87,44795133.17,50536193.19,26422500,842333100
Sal,No Metálico,1007890500,952042300,904167800,542142500,27255100
Sílice 4/,No Metálico,297135600,358148000,374970800,77001677.61,604960000
Sulfato de Magnesio,No Metálico,-,17565000,21174200,102506083.17,72385749.82
Sulfato de Sodio,No Metálico,-,389578800,402661200,280104.69,81975071.11
Talco,No Metálico,12016715.53,47359746.54,52912629.46,68714800,1436360
Tierras Fuller,No Metálico,31203091.56,93404089.5,95072084.73,584345668.64,674850000
Vermiculita,No Metálico,-,-,200886,782076400.33,782076400.33
Wollastonita,No Metálico,49479600,77713900,86326100,,
Yeso,No Metálico,729522050.26,754870885.64,862218228.19,,
