Mineral,Tipo,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Estaño*,Metálico,57744563.57,68205622.96,62417786.42,77715285.1,73010594,99852134.9,2486544.12,1512700,2509600,3102600,3165900,0,0,0,0,0,0,0,8442.4,0,0,0,0,0,0,0
Feldespato,No Metálico,85190300,115905900,146456700,142301200,164016000,173157500,189366300,141896200,171360800,174646900,170839064.43,175887100,209308400,203971100,223124600,97234397.11,88608973.84,93755144.62,125988051.38,125693718.89,228329350.42,444960.95,778717.76,870275.43,942932.19,693591.76
Fluorita,No Metálico,670451700,718468900,811994700,645585100,649542600,683349800,738648700,866695500,1253461600,1292066800,1596394991.88,2052332800,2153888500,2533102100,3064955000,2398336783.57,2697808503.05,1430356975.61,2047588417.13,2401510155.93,6332997977.56,5332682.59,4464187.1,11789891.35,5229678.67,23476650.66
Fosforita,No Metálico,268640400,365788300,378318700,283949400,1778800,1869800,124400,105800,2369164.29,36235407.1,508047628.55,1252483500,1277852300,1108674700,1241390100,1480200412.75,1435826337.38,1988801569.39,3928107809.78,2832382078.83,885201201.97,1254000.75,451527.74,1104531.69,477393.13,1303801.37
Grafito,No Metálico,97773100,60203900,65271100,45539600,30515800,10912500,19199700,15077800,15489700,13673900,13288805.37,12468300,15692600,17891800,19367200,18863890.06,26101161.87,22362397.41,56362592.33,44979422.76,24528395.8,14536.07,1191.04,42540.81,894253.74,66467.53
Grava,No Metálico,2352480214,2708652484.82,3268989063.32,3887692857.28,4906019515.42,5290858680.16,5571586486.61,4980491797.81,5361013249.49,6460274092.58,7908016967.52,8035443196,8112247311.29,7618055339.62,8187311970.5,7771289751.36,12635814232.52,6130723742.57,5288488099.66,9680826626.62,9964226180.19,9983045.01,651528.53,19039616.3,18841154.86,80098139.95
Hierro,Metálico,1319109500,1555910000,1591993400,1192085900,1447570500,1930156600,2279121200,2689276100,3546039400,4695318515.94,6259436425.79,4884608700,7087859800,7078420902.87,8702726800,11045383182.31,9766292226.97,9433714454.65,9874300899.73,7890967949.97,17447295967.99,40065804.86,41786033.07,100841.23,120820.18,70932.81
Ignimbrita,No Metálico,0,0,0,0,0,0,0,0,0,0,0,0,2903371,1347190.34,0,0,0,0,0,0,0,0,0,0,0,0
Magnesita,No Metálico,119965,151344.93,178691.54,139087.15,0,119232241.38,461944.18,0,0,0,0,0,0,0,206740643.04,225414690,228116863.6,232975752.8,240803738.09,257106151.16,257106151.16,2094.12,0,0,0,0
Manganeso,Metálico,427306100,391080700,358300000,216512500,198457400,124531400,180871200,277438700,195577000,216127700,1006998793.17,370262500,730535700,518525700,537787800,645198561.78,624478969.76,468013351.05,810468048.48,1085648306.2,1273461395,1085886.87,1112078.74,14243336.94,15264855.71,27916050.96
Mica,No Metálico,654763,802316.64,1484632.32,605753.76,450999.43,519483.72,461944.18,134701.06,175953.26,11684422.78,6483028.95,6741053.5,223414.69,0,4069912,229667.94,259667.94,245359.84,618268.89,270772.92,761110.92,1142.55,433.78,182.44,0,1046.29
Molibdeno,Metálico,388883200,433320900,364107600,261839600,263250700,447387100,1504997800,3177976700,1456059700,4667295600,5289415210.03,3293275300,4716224800,4498101000,4174350500,3633576141.13,4785582054.5,2582836509.38,3154169328.98,4691829203.03,10267222756.61,111517816.44,110676744.98,105892694.13,171931523.8,160108684.66
Olivino,No Metálico,0,0,0,0,0,0,0,0,0,7045602.96,7118790.07,0,0,0,0,0,19808030.58,5594537.12,9572665.96,9921736.87,9091782.7,11153.89,5966.38,0,0,4681109.66
Oro,Metálico,2255967500,2022577600,2199371900,2094420700,2276540100,2805997200,3628570900,4191692200,7628188800,9622240500,15698429385.36,26422111300,39660882800,56086974908.84,72598809439.92,68321883401.65,63742670053.6,79573285386.31,100129514003.31,97141845782.38,110951315624.3,115145876.01,174922425.69,106810096.28,96010147.13,106412359.82
Perlita,No Metálico,24076943,30374946.83,36711528.87,44795133.17,50536193.19,119232241.38,122145666.65,61444425.56,57205727.37,39517116.4,33411886.44,41351288.07,26481487.42,26678449.63,26912017.37,26017047.37,25181529.26,12858947.91,29067435.73,17355360.44,47459491.2,45284.74,0,58958.06,0,0
Piedras preciosas*****,No Metálico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizarra,No Metálico,0,0,0,0,0,0,0,0,792355,20545703.33,17896251.34,17010356.62,19713815.58,17802494.06,7682517.96,6762613.26,58652653.52,65075253.42,32149410.22,45061445.84,43874283.7,24105.06,16919224.86,1437.11,32296.42,17.1
Plata,Metálico,4625212300,3932268800,4142648800,3991931200,4282205100,5034537600,7500640800,6618590400,9777994200,11037250100,13972569039.65,22724377700,36466112600,67253053038.24,70597439749.12,56721088860.35,46909884037.85,47547661545.72,56254651959.12,60652320386.64,70322706645.04,78420119.4,106000703.19,76736400.18,21882585.76,14606740.13
Plomo,Metálico,1566113400,1210455800,1458691900,1334091200,1287232500,807566400,1410433700,1255290500,1663337300,2489405500,2271629572.23,3344624400,5233067600,6633494402.69,6463618602.82,6931451459.79,6976999249.59,7437800601.22,8646494356.39,10652063365.5,9890015094.58,14459001.14,18730224.71,67760,59017.5,51332.1
Pumicita,No Metálico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31800,0,0,0
Puzolana,No Metálico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30564464,35382685.22,36571543.44,39794539.27,44887395.15,0,31380.82,0,0,0
Riolita,No Metálico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099525166.97,1923358272.79,2967591324.24,3075127850.39,2981436072.07,4190688.07,34873303.55,0,77121.11,0
Rocas Dimensionales****,No Metálico,0,0,0,0,0,0,4095220733.62,5484124138.08,7022200930.06,5863894125.99,2209875030.63,1331230847.66,4348203639.03,4348203639.03,4367592647.8,4219096788.26,7760419023.93,1885546032,2682218391.45,3018086384.1,2525195747.14,2068720.93,638977.23,883905.53,796660.69,35620.9
Sal,No Metálico,925014800,943151200,1007890500,952042300,904167900,974316900,1052676700,1190934400,1125770486.47,1504198895.5,1481327684.26,2113837700,2276467864.9,2078330348.06,2421434774.08,2397745964.26,2452977573.13,2865564885.77,3545286027.55,2696091674.75,2692740948.58,3111224.98,3543406.47,8094537.71,19713206.53,20331515.08
Selenio,Metálico,0,0,0,0,0,0,0,0,0,0,0,0,65222600,163205900,140609500,121130635.37,86929917.73,59574102.78,65928171.58,80183100,79899327,70005.83,64759.9,87679.1,271.63,78918.25
Sílice***,No Metálico,304171200,302209100,297135600,358148000,374970800,675816700,842333100,856860200,1095746400,1180876200,1152299855.5,1288879500,1306931100,1232138400,1740599400,1428886530.9,1243388913.39,851218961.11,1548488583.28,518392116.14,889300680.62,1988969.09,2486636.59,3218205.69,3339427.37,3031971.68
Sulfato de Magnesio,No Metálico,0,0,0,17565000,21174200,26422500,27285100,30580900,42164000,44223300,85374576.06,90424800,97351500,116408500,114135000,124815381.33,123865601.14,128925848.21,169921884.63,175814184.32,176823898.71,2118040.09,227125.1,243602.05,5764055.54,259666.6
Sulfato de Sodio,No Metálico,0,0,0,389578800,402661200,542142500,604960000,557568000,623500800,655771900,718387966,888468000,857217900,1339488500,1369001500,1432961299.88,1482322507.95,1812965608.98,2152961828.95,4377770127.46,2150851157.2,2194481.11,4792708.56,6386295.31,1117542.03,8752554.11
Talco,No Metálico,9044502,10233132.09,12016715.53,47359746.54,52912629.46,77001577.61,72368749.82,47477804.84,31022690.05,25737233.33,14869438.43,29398778.41,792606.81,48584742.08,455058597.01,861520149.31,796356683.03,22117412.72,19296291.46,8508338.01,31972179.27,28026.74,113338.66,237443.9,222998.56,109421.36
Tepetate,No Metálico,0,0,0,0,0,0,0,0,29426303.71,26975760.76,20439373.82,14382686.01,17897534.05,18757814.93,20923179.44,43630824.95,39385714.1,40020711.91,39512287.96,157931046.09,143809109.14,1541111.03,5370071.65,6976424.26,7529400.57,0
Tepojal,No Metálico,0,0,0,0,0,0,0,0,15097000,16922000,20205000,19635200,17848116.02,21901857.48,23820143.18,18634107,3973223.62,5116000,5298000,6296000,6447000,0,0,9797.46,10563.62,0
Tezontle,No Metálico,0,0,0,0,0,0,0,0,116287391.12,98640926,99611844.1,106906359.01,85609164.34,73922427.07,172261222.74,247172499.87,1320939108.01,1967991673.38,1671261500,2477974037.96,2387802092.86,593494.21,1603796.48,95804541.28,103366544.67,277288.11
Tierras Fuller,No Metálico,23817460,26476542.86,31203091.56,93404089.5,95072084.73,102506098.17,91975074.11,78467340.39,78279337.72,27107263.18,55872953.01,95012607.82,155015456.42,101787674.18,223230380.36,311467723.78,259278230.07,116890782.56,124723709.13,132150685.42,0,0,0,0,0,0
Titanio,Metálico,0,0,15935400,16875600,3459500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toba,No Metálico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180699537.88,1217345383.46,123204.5,75834.04,0,19893.33,0
Tungsteno,Metálico,9361600,848200,0,0,0,0,0,0,0,0,159809.75,0,0,0,0,0,0,0,0,0,0,15.5,51.5,165771592.86,73912556.93,35005820.48
Vermiculita,No Metálico,0,0,0,0,200886,209104.69,436368,480910.43,381831.74,229143.43,314097.61,720831.71,251420.65,643734.15,1383227.1,1817759.49,672432.37,941152.13,1008562.55,1611789.66,845842.2,528.65,383.19,0,0,339.25
Wollastonita,No Metálico,64761100,71669100,49479600,77713900,86326100,68714800,67463000,69285000,110042900,125699100,102437187.1,64384410.82,97727500,91290500,122652300,141337703.68,143103884.39,183419059.96,322462329.41,386970688.01,566404511.93,690546.55,562246.27,1403586.25,1160037.07,989124.68
Yeso****,No Metálico,734985587,721131794.95,729522050.26,754870885.64,862218228.19,584345888.64,792976400.33,518296446.4,520192416.52,607948461.81,645157079.55,808159615.63,668895372.98,588760687.2,964351938.06,814057655.34,805554047.43,813275029.21,1270934157.02,1551872894.49,1886282264.93,1291903.66,1332791.63,2043050.25,1981546.93,2082557.92
Zeolita,No Metálico,0,0,0,0,0,0,0,0,0,367500,1230421.5,1279392.28,1281341.31,1200661.66,1291584.23,1136929.93,1392137.26,1400651.24,3008242.67,5336457.56,186060351.28,41259.91,50538.89,110391.78,214138.69,17077.96
Zinc,Metálico,3850658700,3802371400,4163143300,3872222300,3550788300,4000589800,4548053478.67,6504326600,15456394600,15126205800,8098713300.96,10881948100,15571106100,17139703489.89,16923063843.6,15676460032.76,18987796532.62,23988810147.37,26524397922.96,36713846177.08,37326583517.75,42281169.01,49014994.44,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Aluminio y Estaño incluyen producción obtenida con mineral de importación.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Arcillas incluye arcillas cerámicas y refractarias. A partir de 2019, incluye datos estimativos por uso urbano y ambiental.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"*** Sílice incluye la producción de arena para vidrio, cuarzo y materiales silíceos. A partir de 2019, se refiere a todo el volumen comercializado en el sector público, en términos clínicos.",,,,,,,,,,,,,,,,,,,,,,,,,,,
**** Rocas dimensionables y Yeso incluyen datos del mercado público y económico.,,,,,,,,,,,,,,,,,,,,,,,,,,,
***** Piedras preciosas no registra producción en el período analizado.,,,,,,,,,,,,,,,,,,,,,,,,,,,
