Mineral,Tipo,1998,1999,2000,2001,2002 p/
Aluminio 1/,Metálico,964075737.36,1111579325.18,1244849261.21,719988617.25,543112395.54
Antimonio,Metálico,18961500,3631700,773700,1078900,2953400
Arsénico,Metálico,18580700,18376800,18937500,17642400,14917900
Bismuto,Metálico,73178100,34989000,82258700,104330700,72432800
Cadmio,Metálico,9921100,4930800,4501500,6686600,8698200
Cobre,Metálico,5481620700,5449679900,6233073300,5533592600,5080290700
Estaño 2/,Metálico,57744563.57,68205622.96,62417786.42,77715285.1,73010594
Fierro,Metálico,1319109500,1555910000,1591993400,1192085900,1447570500
Manganeso,Metálico,427306100,391080700,358300000,216512500,198457400
Molibdeno,Metálico,388883200,433320900,364107600,261839600,263250700
Oro,Metálico,2255967500,2022577600,2199371900,2094420700,2276540100
Plata,Metálico,4625212300,3932268800,4142648800,3991931200,4282205100
Plomo,Metálico,1566113400,1210455800,1458691900,1334091200,1287232500
Titanio,Metálico,-,-,15935400,16875600,3459500
Tungsteno,Metálico,9361600,848200,-,-,-
Zinc,Metálico,3850658700,3802371400,4163143300,3872222300,3550788300
Arcillas 3/,No Metálico,294518832,411337317.58,620138794.4,885785892.03,936257077.28
Arena,No Metálico,2853143053,3451214584.73,4284349791.54,4487564583.51,4453540606.44
Azufre,No Metálico,533243592.08,523030700,514675100,576402200,602474200
Barita,No Metálico,115152100,117240900,93559900,106065500,126452400
Bentonita,No Metálico,74348945,93797010.81,131416730.73,211158423.99,232768990.48
Calcita,No Metálico,118715176,153561525.42,200032877.91,690527550.63,784318938.97
Caliza,No Metálico,1501895564,1994005179.06,2400361979.48,2724450894,2701269418.07
Caolín,No Metálico,112856938,183214285.36,215659353.81,288351635.36,333319198.6
Carbón,No Metálico,1714373400,2101707900,2293568400,2111875900,2030078300
Celestita,No Metálico,59743400,80837400,84527700,76530600,51096200
Diatomita,No Metálico,163946964,7710200,11197800,12406700,15359900
Dolomita,No Metálico,156317700,82641500,80329200,133488600,91075300
Feldespato,No Metálico,85190300,115905900,146456700,142301200,164016000
Fluorita,No Metálico,670451700,718468900,811994700,645585100,649542600
Fosforita,No Metálico,268640400,365788300,378318700,283949400,1778800
Grafito,No Metálico,97773100,60203900,65271100,45539600,30515800
Grava,No Metálico,2352480214,2708652484.82,3268989063.32,3887692857.28,4906019815.42
Magnesita,No Metálico,119965,151344.93,178691.54,139087.15,-
Mármol,No Metálico,665572993,838134838.31,1262212284.59,5293453739.82,4868116718.16
Mica,No Metálico,654763,802316.64,1484632.32,605753.76,450999.43
Perlita,No Metálico,24076943,30374946.83,36711528.87,44795133.17,50536193.19
Sal,No Metálico,925014800,943151200,1007890500,952042300,904167800
Sílice 4/,No Metálico,304171200,302209100,297135600,358148000,374970800
Sulfato de Magnesio,No Metálico,-,-,-,17565000,21174200
Sulfato de Sodio,No Metálico,-,-,-,389578800,402661200
Talco,No Metálico,9044502,10233132.09,12016715.53,47359746.54,52912629.46
Tierras Fuller,No Metálico,23817460,26476542.86,31203091.56,93404089.5,95072084.73
Vermiculita,No Metálico,-,-,-,-,200886
Wollastonita,No Metálico,64761100,71669100,49479600,77713900,86326100
Yeso,No Metálico,734985587,721131794.95,729522050.26,754870885.64,862218228.19
