Mineral,Tipo,2019,2020,2021,2022,2023 p/
Total,Total,"963 619 056,16","2 442 599 664,82","4 218 387 724,03","5 116 933 724,78","4 700 763 954,77"
Metálicos,Metálico,"385 102 342,65","495 818 796,25","1 976 853 286,89","1 373 107 332,19","532 809 673,84"
Antimonio,Metálico,-,"2 374,96",-,-,-
Bismuto,Metálico,"35 557,19","48 478,80",-,-,-
Cádmio,Metálico,"471 946,64","92 352 926,27","151 187 701,11","150 621 189,85","117 292 298,31"
Cobre,Metálico,"82 340 499,73","93 335 028,07","1 305 261 188,06","843 284 585,70","71 266 226,03"
Fierro,Metálico,"40 065 804,86","41 786 033,07","100 841,23","120 820,18","70 932,81"
Manganeso,Metálico,"1 085 886,87","1 112 078,74","14 243 336,94","15 264 855,71","27 916 050,96"
Molibdeno,Metálico,"111 517 816,44","110 676 744,98","105 892 694,13","171 931 523,80","160 108 684,66"
Oro,Metálico,"115 145 876,01","174 922 425,69","106 810 096,28","96 010 147,13","106 412 359,82"
Plata,Metálico,"78 420 119,40","106 000 703,19","76 736 400,18","21 882 585,76","14 606 740,13"
Plomo,Metálico,"14 459 001,14","18 730 224,71","67 760,00","59 017,50","51 332,10"
Selenio,Metálico,"70 005,83","64 759,90","87 679,10","271,63","78 918,25"
Tungsteno,Metálico,"15,50","51,50","165 771 592,86","73 912 556,93","35 005 820,48"
Zinc,Metálico,-,-,-,-,-
No metálicos,No metálico,"578 516 715,31","1 946 780 868,56","2 241 534 437,14","3 743 826 392,59","4 167 954 280,92"
Agregados pétreos,No metálico,"388 964 198,24","922 431 510,18","1 446 382 084,28","2 919 173 574,19","3 117 381 785,40"
Andesita,No metálico,"20 315 844,93","21 864 429,25","1 029 842,34","1 297 351,43","45 973,12"
Arcillas*,No metálico,"597 682,58","644 849,56","1 139 900,78","114 045,50","12 308 281,29"
Arena,No metálico,"19 928 249,13","79 010 687,06","64 340 941,97","52 461 543,04","566 083 473,19"
Azufre,No metálico,"428 060,70","379 643,95","377 777,70","390 293,09","464 070,02"
Barita,No metálico,"1 065 967,17","1 513 685,99","3 175 312,33","170 168,83","1 232 957,19"
Basalto,No metálico,"53 352 640,12","523 700 681,54","37 644 157,86","43 159 782,60","242 816 813,44"
Bentonita,No metálico,"15 835,77","53 205,46",-,-,-
Calcita,No metálico,"587 577,88","815 240,21","377 777,35","318 773,89","2 032 522,00"
Caliza,No metálico,"51 880 233,95","245 248 134,78","515 806 095,32","61 847 474,56","74 337 865,54"
Caolín,No metálico,"832 341,79","3 282 316,12","4 121 913,26","3 816 899,63","452,77"
Carbón,No metálico,"3 691 584,48","1 300 079,56","5 251 041,60","10 943 213,71","1 629 968,37"
Celestita,No metálico,"42 301,80","67 423,55","128 370,72","141 186,38","93 209,53"
Diatomita,No metálico,"447 877,86","521 884,36","1 111 915,25","962 980,62","746 214,30"
Dolomita,No metálico,"1 047 957,00","2 488 000,29","2 088 678,67","2 257 728,99","2 588 902,72"
Feldespato,No metálico,"444 960,95","778 777,76","870 275,43","942 932,19","693 591,76"
Fluorita,No metálico,"5 332 682,59","4 464 187,10","11 789 891,35","5 229 678,67","23 476 650,66"
Fosforita,No metálico,"1 254 000,75","451 927,74","1 104 531,69","477 393,13","1 303 801,37"
Grafito,No metálico,"14 536,07","1 191,04","42 540,81","894 253,74","66 467,53"
Grava,No metálico,"9 983 045,01","651 528,53","19 039 616,30","18 841 154,86","80 098 139,95"
Magnesita,No metálico,"2 094,12",-,-,-,-
Mica,No metálico,"1 142,55","433,78","182,44",-,"1 046,29"
Olivino,No metálico,"11 153,89","5 966,38",-,-,"4 681 109,66"
Perlita,No metálico,"45 284,74",-,"58 958,06",-,-
Piedras preciosas*****,No metálico,-,-,-,-,-
Pizarra,No metálico,"24 105,06","16 919 224,86","1 437,11","32 296,42","17,10"
Pumicita,No metálico,-,"31 800,00",-,-,-
Riolita,No metálico,"4 190 688,07","34 873 303,55",-,"77 121,11",-
Rocas dimensionables***,No metálico,"2 068 720,93","639 977,23","883 905,53","796 660,69","35 620,90"
Sal,No metálico,"3 111 224,98","3 543 406,47","8 094 537,71","19 713 206,53","20 331 515,08"
Sílice**,No metálico,"1 988 969,09","2 486 636,59","3 218 205,69","3 339 427,37","3 031 971,68"
Sulfato de magnesio,No metálico,"2 118 040,09","227 125,10","243 602,05","5 764 055,54","259 666,60"
Sulfato de sodio,No metálico,"2 194 481,11","4 792 708,56","6 386 295,31","1117 542,03","8 752 554,11"
Talco,No metálico,"28 026,74","113 338,66","237 443,90","222 998,56","109 421,36"
Tepetate,No metálico,"1 541 111,03","5 370 071,65","6 976 424,26","7 529 400,57",-
Tepojal,No metálico,-,-,"9 797,46","10 563,62",-
Tezontle,No metálico,"593 494,21","1 603 796,48","95 804 541,28","103 366 544,67","277 288,11"
Tierras fuller,No metálico,-,-,-,-,-
Toba,No metálico,"123 204,50","75 834,04",-,"19 893,33",-
Vermiculita,No metálico,"528,65","383,19",-,-,"339,25"
Wollastonita,No metálico,"690 546,55","562 246,27","1 403 586,25","1 160 037,07","989 124,68"
Yeso***,No metálico,"1 291 903,66","1 330 791,63","2 043 050,25","1 981 546,93","2 082 557,92"
Zeolita,No metálico,"41 259,91","50 538,89","110 391,78","214 138,69","17 077,96"
