Mineral,Tipo,2004,2005,2006,2007,2008 p/
Aluminio 1/,Metálico,900000,900000,900000,900000,-
Antimonio,Metálico,16449300,21242300,45779100,25618600,26141000
Arsénico,Metálico,14565700,12794200,13778300,4526500,-
Bismuto,Metálico,78227200,89240700,133718200,373039500,313023200
Cadmio,Metálico,21986800,59978500,45867400,130781200,99219700
Cobre,Metálico,11395582100,14970131200,23619126500,25931188800,20199189100
Estaño 2/,Metálico,2486544.12,1512700,2509600,3102600,3165900
Fierro,Metálico,2279121200,2699275100,3546039400,4695318515.94,6259436400
Manganeso,Metálico,180871200,277438700,195577000,216127700,1006998800
Molibdeno,Metálico,1504997800,3177976700,1456059700,4667295600,5289415200
Oro,Metálico,3628570900,4191692200,7628188800,9622240500,15698429400
Plata,Metálico,7500640800,6618590400,9777994200,11037250100,13972569000
Plomo,Metálico,1410433700,1295290500,1663337300,2489405500,2271629600
Zinc,Metálico,4548053478.67,6504326600,15456394600,15126205800,8098713300
Agregados Pétreos,No Metálico,-,-,1940501836.78,2219910222.69,2139743848.63
Arcillas 3/,No Metálico,1173121686.69,3381971463.61,3296611748.29,3375630770.76,3841883189.19
Arena,No Metálico,4151903575.36,4169593327.69,4310996386.44,4990496241.04,5688854125.25
Azufre,No Metálico,485650600,399839900,454003600,443812900,3352724600
Barita,No Metálico,471583300,356576300,225540100,228159400,156325700
Bentonita,No Metálico,212530838.92,165388733.72,176747050.69,258651205.09,168285231.25
Calcita (carbonato de calcio),No Metálico,5717179166.81,1179629644.52,642102823.27,855428323.6,862944514.28
Caliza,No Metálico,3751244801.34,3046206317.02,3847537657.13,3563737947.09,3938992531.17
Cantera,No Metálico,-,-,92135837.37,108515566.03,107772985.85
Caolín,No Metálico,645276638.69,891480725.81,1021504999.9,1069609075.26,810470578.74
Carbón,No Metálico,2394082500,2771525100,3053289000,5177508300,5237795100
Celestita,No Metálico,53399400,60193400,64316400,48726200,15188200
Diatomita,No Metálico,128190000,140970100,149499100,203183300,329523100
Dolomita,No Metálico,95565300,103066200,102729700,99816900,114357100
Feldespato,No Metálico,189366300,141896200,171360800,174646900,170839100
Fluorita,No Metálico,738648700,866695500,1253461600,1292066800,1596395000
Fosforita,No Metálico,124400,105800,2369164.29,36235407.1,508047600
Grafito,No Metálico,19199700,15077800,15489700,13673900,13288800
Grava,No Metálico,5571586486.61,4980491797.81,5361013249.49,6460274092.58,7908016967.52
Mica,No Metálico,461944.18,134701.06,175953.26,11684422.78,6483028.95
Olivino,No Metálico,-,-,-,7045602.96,7118790.07
Perlita,No Metálico,122145666.65,61444425.56,57205727.37,39517116.4,33411886.44
Pizarra,No Metálico,-,-,792355,20545703.33,17896251.34
Rocas Dimensionales,No Metálico,4095220733.62,5484124138.08,7022200930.06,5863894125.99,2189450264.08
Sal,No Metálico,1052676700,1190934400,1125770486.47,1503579461.7,1481327700
Sílice 4/,No Metálico,842333100,856860200,1095746400,1180876200,1152299900
Sulfato de Magnesio,No Metálico,27285100,30580900,42164000,44223300,85374600
Sulfato de Sodio,No Metálico,604960000,557568000,623500800,655771900,718388000
Talco,No Metálico,72368749.82,47477804.84,31022690.05,25737233.33,1005185305.87
Tepetate,No Metálico,-,-,29426303.71,26975760.76,20439373.82
Tepojal,No Metálico,-,-,15097000,16922000,20205000
Tezontle,No Metálico,-,-,116287391.12,98640926,99611844.1
Tierras Fuller,No Metálico,91975074.11,78467340.39,78279337.72,27107263.18,55872953.01
Vermiculita,No Metálico,436368,480910.43,381831.74,229143.43,314097.61
Wollastonita,No Metálico,67463000,69285000,110042900,125699100,102437200
Yeso,No Metálico,792976400.33,518296446.4,520192416.52,607948461.81,645157079.55
Zeolita,No Metálico,-,-,-,367500,1230421.5
