Mineral,Tipo,2012,2013,2014,2015,2016 p/
Aluminio 1/,Metálico,6968947.3,-,-,-,14883840
Bismuto,Metálico,233442400,187789420.22,297192951.35,135456643.85,92950889.22
Cadmio,Metálico,39276100,35676115.31,36372235.36,29876481.82,31012637.04
Cobre,Metálico,52294997282.61,44846653223.71,46933913500.01,51605778050.83,69589911588
Fierro,Metálico,8702726800,11045383182.31,9766292226.97,9433714454.65,7164840755.88
Manganeso,Metálico,537787800,645198561.78,624478969.76,468013351.05,772393340.46
Molibdeno,Metálico,4174350500,3633576141.13,4785592054.5,2582836509.38,3154169328.98
Oro,Metálico,72598809439.92,68321883401.65,63742670053.6,79573285386.31,99275198054.95
Plata,Metálico,70597439749.12,56721088860.35,46909884037.85,47547661545.72,55571915127.43
Plomo,Metálico,6463618602.82,6931451459.79,6976999249.59,7437800601.22,8454316196.32
Selenio,Metálico,140609500,121130635.37,86929917.73,59574102.78,65928171.58
Zinc,Metálico,16923063843.6,15676460032.76,18987796532.62,23988810147.37,26297355691.14
Agregados Pétreos,No Metálico,7138246926.32,8183432368.66,49248158442.56,43647481547.4,42405260986.81
Andesita,No Metálico,-,-,1900783579.2,6607130877.36,6940436585.55
Arcillas 2/,No Metálico,944077031.3,921153489.96,1035030035.08,552875687.65,600485333.54
Arena,No Metálico,10209048648.06,10383524598.7,15422666948.93,9433716336.6,9094295861.26
Azufre,No Metálico,1877766483.85,1278448293.04,1072375699.87,1384652934.86,596995887.84
Barita,No Metálico,188180700,165574174.72,217146547.27,569324119.04,343948650.77
Basalto,No Metálico,107680626.31,94768948.14,29214332765.37,58921816588.75,76585779256.77
Bentonita,No Metálico,498405925.76,446335875.45,291925994.84,168823100.19,64746375.86
Calcita (carbonato de calcio),No Metálico,2001863371.23,2687871557.24,2449991309.88,1206040001.9,1143676757.97
Caliza,No Metálico,4014023844.18,3900564428.21,19427308081.31,44302163818.24,29076688465.55
Cantera,No Metálico,165092186.2,179144832.42,317068356.21,124328537.39,103352978.55
Caolín,No Metálico,1064527987.65,1522791008.93,1413134567.53,834606639.24,1058665291.02
Carbón,No Metálico,4716146800,5023932378.54,5478820755.87,3587839655.02,4092939640.08
Celestita,No Metálico,30861100,45570393.53,46043603.04,66546517.18,32115402.52
Diatomita,No Metálico,278035000,297982461.58,319761030.8,332249689.03,349781299.07
Dolomita,No Metálico,223605400,998778032.64,1651611713.13,2039770926.44,2686882175.38
Feldespato,No Metálico,223124600,97254397.71,88608973.84,93755144.62,74798245.7
Fluorita,No Metálico,3064955000,2398336783.57,2692988503.05,1430356975.61,2046658186.88
Fosforita,No Metálico,1241390100,1480200412.75,1376645593.29,1988801569.39,3928107571.29
Grafito,No Metálico,19367200,18863890.06,26101161.87,22362397.41,56362592.33
Grava,No Metálico,8187311970.5,7771289751.36,12635814232.52,6130723742.57,5288488099.66
Magnesita,No Metálico,206740643.04,225414690,228116863.6,232975752.8,240803738.09
Mica,No Metálico,4069912,229667.94,229667.94,245359.84,253603.93
Olivino,No Metálico,4604773.88,4807968.91,19808093.08,5594537.12,5467327.84
Perlita,No Metálico,26912017.37,26017047.37,19808093.08,12858947.91,19425320.21
Pizarra,No Metálico,7682517.96,6762613.26,6398880.82,65075253.42,32149410.22
Puzolana,No Metálico,-,-,30564464,35382685.22,36571543.44
Riolita,No Metálico,-,-,2099525166.97,1923358272.79,3065940416.32
Rocas Dimensionales,No Metálico,4367592647.8,4219096788.26,7760419023.93,1885546032,2682218391.45
Sal,No Metálico,2421434774.08,2397745964.26,2452977573.13,2865564885.77,3321670099.54
Sílice 3/,No Metálico,1740599400,1428886530.9,1243388913.39,851218961.11,1538764520.26
Sulfato de Magnesio,No Metálico,114135000,124815381.33,123855601.14,128925848.21,169921884.63
Sulfato de Sodio,No Metálico,1369001500,1432961299.88,1482322507.95,1812965608.98,2152961828.95
Talco,No Metálico,455058597.01,861520149.31,796356683.03,22117412.72,12733594.49
Tepetate,No Metálico,20923179.44,43630824.95,39424139.62,40020711.92,39512287.96
Tepojal,No Metálico,23820143.18,18634107,3973223.62,5116000,5298000
Tezontle,No Metálico,172261222.74,247172499.87,166788073.13,1967991673.38,1671261500
Tierras Fuller,No Metálico,223230380.36,311467723.78,259278230.07,116890782.56,124723709.13
Vermiculita,No Metálico,1383227.1,1817759.49,672423.37,941152.13,975776.46
Wollastonita,No Metálico,122652300,141337703.68,143103884.39,183419059.96,322462329.41
Yeso,No Metálico,964351938.06,814057655.34,805554047.43,1058410205.53,1268452502.6
Zeolita,No Metálico,1291584.23,1136929.93,1392137.26,1400651.24,1421789.78
