codigo,nombre,vbp,di_domestica
212396,Minería de grafito,403.63700000000006,368.1689999999999
212397,Minería de azufre,2175.349000000003,1231.1539999999998
212398,Minería de minerales no metálicos para productos químicos,858.3529999999996,855.2969999999999
212399,Minería de otros minerales no metálicos,2950.302999999999,2762.3050000000003
213111,Perforación de pozos petroleros y de gas,132090.311,0.0
213119,Otros servicios relacionados con la minería,7379.557,0.0
221110,"Generación, transmisión y distribución de energía eléctrica (incluye a la 221120 ""Transmisión y distribución de energía eléctrica"")",410192.96699999995,261589.589
222111,"Captación, tratamiento y suministro de agua realizados por el sector público (incluye a la 222112 "" Captación, tratamiento y suministro de agua realizados por el sector privado"")",41560.931000000026,32595.82100000002
222210,Suministro de gas por ductos al consumidor final,2990.485,0.0
236111,Edificación de vivienda unifamiliar,693190.443,0.0
236112,Edificación de vivienda multifamiliar,174216.739,0.0
236113,Supervisión de edificación residencial,1553.6370000000002,1553.6370000000002
236211,"Edificación de naves y plantas industriales, excepto la supervisión",120554.068,0.0
236212,Supervisión de edificación de naves y plantas industriales,1246.365,1246.365
236221,"Edificación de inmuebles comerciales y de servicios, excepto la supervisión",317900.588,0.0
236222,Supervisión de edificación de inmuebles comerciales y de servicios,2017.661,1983.255
237111,"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje",33716.351,0.0
237112,Construcción de sistemas de riego agrícola,10178.103,0.0
237113,"Supervisión de construcción de obras para el tratamiento, distribución y suministro de agua, drenaje y riego",1068.929,1068.929
237121,Construcción de sistemas de distribución de petróleo y gas,26105.512,0.0
237122,Construcción de plantas de refinería y petroquímica,88322.807,0.0
237123,Supervisión de construcción de obras para petróleo y gas,11689.329999999998,11689.329999999998
237131,Construcción de obras de generación y conducción de energía eléctrica,44697.854,0.0
237132,Construcción de obras para telecomunicaciones,4960.725,0.0
237133,Supervisión de construcción de obras de generación y conducción de energía eléctrica y de obras para telecomunicaciones,401.696,401.696
237211,División de terrenos,1266.611,0.0
237212,Construcción de obras de urbanización,112801.113,0.0
237213,Supervisión de división de terrenos y de construcción de obras de urbanización,1421.715,1421.715
237311,Instalación de señalamientos y protecciones en obras viales,3996.664,0.0
237312,"Construcción de carreteras, puentes y similares",100998.311,0.0
237313,Supervisión de construcción de vías de comunicación,3318.9129999999996,3318.9129999999996
237991,Construcción de presas y represas,2820.543,0.0
237992,"Construcción de obras marítimas, fluviales y subacuáticas",16182.597,0.0
237993,Construcción de obras para transporte eléctrico y ferroviario,8858.104,0.0
237994,Supervisión de construcción de otras obras de ingeniería civil,423.424,423.424
237999,Otras construcciones de ingeniería civil,7592.128,0.0
238110,Trabajos de cimentaciones,7910.113999999998,5158.522999999998
238121,Montaje de estructuras de concreto prefabricadas,2935.619,0.0
238122,Montaje de estructuras de acero prefabricadas,9640.532000000001,126.629
238130,Trabajos de albañilería,3212.187999999999,3212.187999999999
238190,Otros trabajos en exteriores,503.808,503.808
238210,Instalaciones eléctricas en construcciones,16290.046999999993,16290.046999999993
238221,Instalaciones hidrosanitarias y de gas,30833.94200000002,30833.94200000002
238222,Instalaciones de sistemas centrales de aire acondicionado y calefacción,36396.2809999999,36396.2809999999
238290,Otras instalaciones y equipamiento en construcciones,7125.65700000002,7125.65700000002
238311,Colocación de muros falsos y aislamiento,3648.706,3648.706
238312,"Trabajos de enyesado, empastado y tiroleado",1288.375999999999,1288.375999999999
238320,Trabajos de pintura y otros cubrimientos de paredes,2262.346000000001,2262.346000000001
238330,Colocación de pisos flexibles y de madera,151.69400000000005,151.69400000000005
238340,Colocación de pisos cerámicos y azulejos,482.6679999999994,482.6679999999994
238350,Realización de trabajos de carpintería en el lugar de la construcción,286.4059999999999,286.4059999999999
238390,Otros trabajos de acabados en edificaciones,3279.467000000002,3279.467000000002
238910,Preparación de terrenos para la construcción,5542.165999999999,5542.165999999999
238990,Otros trabajos especializados para la construcción,2422.5420000000017,2422.5420000000017
311110,Elaboración de alimentos para animales,65312.29100000001,41116.478
311211,Beneficio del arroz,5120.424999999999,0.059000000000000004
311212,Elaboración de harina de trigo,23233.350000000006,18838.302000000007
311213,Elaboración de harina de maíz,12101.098000000013,10208.73500000001
311214,Elaboración de harina de otros productos agrícolas,6864.76,4995.225000000001
311215,Elaboración de malta,3666.943,3464.876
311221,Elaboración de féculas y otros almidones y sus derivados,10474.895000000006,5901.048999999999
311222,Elaboración de aceites y grasas vegetales comestibles,55699.45200000001,885.3249999999996
311230,Elaboración de cereales para el desayuno,8402.948,95.649
311311,Elaboración de azúcar de caña,32753.559000000016,15030.081000000011
311319,Elaboración de otros azúcares,1834.8360000000002,0.0
311320,Elaboración de chocolate y productos de chocolate a partir de cacao,10553.683000000003,1798.3429999999996
311330,Elaboración de productos de chocolate a partir de chocolate,4596.705,76.25800000000001
