,exportaciones,,,,,,,,,,,,,,,,
Plata,2648055816,3233628820,2875970518,3204147842,3475228267,,,,,,,,,,,,
Cobre,2421642627,3396674515,4260104378,3228898059,3157850666,,,,,,,,,,,,
Plomo,1761665042,2261803871,2121190944,1525848288,2552966800,,,,,,,,,,,,
Zinc,1018166007,1527399672,1409767242,1204334451,1825453482,,,,,,,,,,,,
Aluminio,-1506844481,-2709914717,-3868671320,-3077346185,-2975176345,,,,,,,,,,,,
Magnesio,-1881358,-45593847,-115633669,-45584728,-29204835,,,,,,,,,,,,
Estaño,-86838152,-151405699,-137339221,-107368772,-123394510,,,,,,,,,,,,
Grafito,98099385,105438652,94717057,-13013349,-12762916,,,,,,,,,,,,
Sílice,-31635736,-58092890,-70499019,-74921318,-49407602,,,,,,,,,,,,
Otros,-935667079,-2075224394,-3381477941,-7363977293,-6822268072,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Total minerales críticos (sin Au),6320429150,7559938377,6569606910,5844994288,7821553007,,,,,,,,,,,,
Total minerales críticos,11084120714,12754416048,10857407501,10663325194,13316202709,,,,,,,,,,,,
Total general,10148453635,10679191654,7475929560,3299347901,6493934637,,,,,,,,,,,,
