Mineral,País,Producción Minera,% de producción mundial,Reservas (toneladas),% de reservas mundiales,,,,,,,,
Plata,Kazajstán,985,0.038663840477312,No disponible,-,,,,,,,,
Plata,Suecia,404,0.0158580624901868,No disponible,-,,,,,,,,
Plata,Perú,3200,0.125608415763856,140000,0.218272528843156,,,,,,,,
Plata,Australia,1030,0.0404302088239912,94000,0.146554412223262,,,,,,,,
Plata,Rusia,1240,0.0486732611084943,92000,0.143436233239788,,,,,,,,
Plata,China,3400,0.133458941749097,70000,0.109136264421578,,,,,,,,
Plata,Polonia,1320,0.0518134715025907,61000,0.0951044589959464,,,,,,,,
Plata,Otros países,2050,0.0804678913487204,57000,0.0888681010289991,,,,,,,,
Plata,México,6290,0.24689904223583,37000,0.0576863111942625,,,,,,,,
Plata,Chile,1260,0.0494583137070184,26000,0.0405363267851575,,,,,,,,
Plata,Estados Unidos,1020,0.0400376825247292,23000,0.035859058309947,,,,,,,,
Plata,Bolivia,1350,0.0529910504003768,22000,0.0342999688182102,,,,,,,,
Plata,India,813,0.0319123881300047,8000,0.0124727159338946,,,,,,,,
Plata,Argentina,808,0.0317161249803737,6500,0.0101340816962894,,,,,,,,
Plata,Canadá,306,0.0120113047574187,4900,0.00763953850951045,,,,,,,,
Plomo,Tayikistán,39000,0.00892448512585812,No disponible,-,,,,,,,,
Plomo,Australia,430000,0.0983981693363844,35000000,0.365344467640919,,,,,,,,
Plomo,China,1960000,0.448512585812357,22000000,0.22964509394572,,,,,,,,
Plomo,Rusia,218000,0.0498855835240275,8900000,0.092901878914405,,,,,,,,
Plomo,Otros países,511000,0.116933638443936,5900000,0.0615866388308977,,,,,,,,
Plomo,México,183000,0.0418764302059497,5600000,0.058455114822547,,,,,,,,
Plomo,Perú,273000,0.0624713958810069,5000000,0.0521920668058455,,,,,,,,
Plomo,Estados Unidos,270000,0.0617848970251716,4600000,0.0480167014613779,,,,,,,,
Plomo,Irán,60000,0.0137299771167048,2000000,0.0208768267223382,,,,,,,,
Plomo,India,226000,0.0517162471395881,1900000,0.0198329853862213,,,,,,,,
Plomo,Suecia,72000,0.0164759725400458,1700000,0.0177453027139875,,,,,,,,
Plomo,Turquía,68000,0.0155606407322654,1600000,0.0167014613778706,,,,,,,,
Plomo,Bolivia,60000,0.0137299771167048,1600000,0.0167014613778706,,,,,,,,
Zinc,Bolivia,492000,0.0407858741606566,No disponible,-,,,,,,,,
Zinc,Australia,1090000,0.0903589488518611,64000000,0.273037542662116,,,,,,,,
Zinc,China,4060000,0.336566359943629,46000000,0.196245733788396,,,,,,,,
Zinc,Rusia,300000,0.024869435463815,29000000,0.123720136518771,,,,,,,,
Zinc,Otros países,1690000,0.140097819779491,25000000,0.106655290102389,,,,,,,,
Zinc,Perú,1470000,0.121860233772693,20000000,0.0853242320819113,,,,,,,,
Zinc,México,584000,0.0484125010362265,14000000,0.0597269624573379,,,,,,,,
Zinc,India,854000,0.07079499295366,9800000,0.0418088737201365,,,,,,,,
Zinc,Estados Unidos,767000,0.0635828566691536,9200000,0.0392491467576792,,,,,,,,
Zinc,Kazajstán,340000,0.0281853601923236,7600000,0.0324232081911263,,,,,,,,
Zinc,Sudáfrica,198000,0.0164138274061179,5900000,0.0251706484641638,,,,,,,,
Zinc,Suecia,218000,0.0180717897703722,3900000,0.0166382252559727,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Los porcentajes de participación son aproximados ya que algunos datos están incompletos o no disponibles.,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,Mineral,País,Reservas (toneladas),% de reservas mundiales
,,,,,,,,,,Barita,México,No disponible,-
Mineral,País,Producción Minera,Reservas,,,,,,,Cobre,México,—,-
Barita,Mundo,8080000,—,,,,,,,Fluorita,México,68000000,0.294117647058824
Cobre,Mundo,22600000,980000000,,,,,,,Grafito,México,3100000,0.0111071300609101
Fluorita,Mundo,9530000,320000000,,,,,,,Oro,México,1400,0.0217391304347826
Oro,Mundo,3250,64000,,,,,,,Plata,México,37000,0.0576863111942625
Grafito,Mundo,1530000,290000000,,,,,,,Plomo,México,5600000,0.058455114822547
Plomo,Mundo,4370000,96000000,,,,,,,Zinc,México,14000000,0.0597269624573379
Plata,Mundo,25500,640000,,,,,,,,,,
Zinc,Mundo,12100000,230000000,,,,,,,,,,
