Comisión Chilena del Cobre,,,,,,,,,,,,,,,,,
Dirección de Estudios y Políticas Públicas,,,,,,,,,,,,,,,,,
"PRECIO DEL COBRE REFINADO, NOMINAL 1960 - 2024",,,,,,,,,,,,,,,,,
(centavos de dólar por libra),,,,,,,,,,,,,,,,,
,NOMINAL,,,,,,,,,,,,,,,,
MES - AÑO,BML (cUS$/lb),COMEX (cUS$/lb),,,,,,,,,,,,,,,
2009-02-01,150.353,150.639,,,,,,,,,,,,,,,
2009-03-01,170.085863636364,171.698,,,,,,,,,,,,,,,
2009-04-01,199.878,204.614,,,,,,,,,,,,,,,
2009-05-01,207.23,210.613,,,,,,,,,,,,,,,
2009-06-01,227.429,228.339,,,,,,,,,,,,,,,
2009-07-01,236.573,238.555,,,,,,,,,,,,,,,
2009-08-01,279.653,281.06,,,,,,,,,,,,,,,
2009-09-01,281.065,281.479,,,,,,,,,,,,,,,
2009-10-01,285.218,287.857,,,,,,,,,,,,,,,
2009-11-01,302.8,303.53,,,,,,,,,,,,,,,
2009-12-01,316.685,318.773,,,,,,,,,,,,,,,
2010-01-01,335.035,333.766,,,,,,,,,,,,,,,
2010-02-01,310.628,311.918,,,,,,,,,,,,,,,
2010-03-01,338.508,339.541,,,,,,,,,,,,,,,
2010-04-01,351.311,351.919,,,,,,,,,,,,,,,
2010-05-01,310.152,310.578,,,,,,,,,,,,,,,
2010-06-01,294.803,293.707,,,,,,,,,,,,,,,
2010-07-01,305.506,306.426,,,,,,,,,,,,,,,
2010-08-01,330.395,331.982,,,,,,,,,,,,,,,
2010-09-01,349.688,351.798,,,,,,,,,,,,,,,
2010-10-01,376.137,377.312,,,,,,,,,,,,,,,
2010-11-01,384.188,384.207,,,,,,,,,,,,,,,
2010-12-01,414.913,416.973,,,,,,,,,,,,,,,
2011-01-01,433.439,434.428,,,,,,,,,,,,,,,
2011-02-01,447.587,449.166,,,,,,,,,,,,,,,
2011-03-01,432.303,431.954,,,,,,,,,,,,,,,
2011-04-01,430.153,430.438,,,,,,,,,,,,,,,
2011-05-01,404.924,405.557,,,,,,,,,,,,,,,
2011-06-01,410.294,410.914,,,,,,,,,,,,,,,
2011-07-01,436.321,440.125,,,,,,,,,,,,,,,
2011-08-01,410.106,407.857,,,,,,,,,,,,,,,
2011-09-01,377.155,373.776,,,,,,,,,,,,,,,
2011-10-01,333.277,334.36,,,,,,,,,,,,,,,
2011-11-01,342.543,344.219,,,,,,,,,,,,,,,
2011-12-01,343.258,343.207,,,,,,,,,,,,,,,
2012-01-01,364.845,366.865,,,,,,,,,,,,,,,
2012-02-01,382.047,384.583,,,,,,,,,,,,,,,
2012-03-01,383.605,383.948,,,,,,,,,,,,,,,
2012-04-01,374.651,371.918,,,,,,,,,,,,,,,
2012-05-01,359.242,357.034,,,,,,,,,,,,,,,
2012-06-01,336.57,334.76,,,,,,,,,,,,,,,
2012-07-01,344.249,343.902,,,,,,,,,,,,,,,
2012-08-01,339.852,341.802,,,,,,,,,,,,,,,
2012-09-01,365.975,371.866,,,,,,,,,,,,,,,
2012-10-01,366.027,367.993,,,,,,,,,,,,,,,
2012-11-01,349.003,350.36,,,,,,,,,,,,,,,
2012-12-01,361.177,362.363,,,,,,,,,,,,,,,
2013-01-01,365.109,366.738,,,,,,,,,,,,,,,
2013-02-01,366.071,366.645,,,,,,,,,,,,,,,
2013-03-01,347.583,346.648,,,,,,,,,,,,,,,
2013-04-01,326.739,327.718,,,,,,,,,,,,,,,
2013-05-01,327.91,329.902,,,,,,,,,,,,,,,
2013-06-01,317.699,317.945,,,,,,,,,,,,,,,
2013-07-01,312.66,314.225,,,,,,,,,,,,,,,
2013-08-01,325.782,328.182,,,,,,,,,,,,,,,
2013-09-01,324.837,327.328,,,,,,,,,,,,,,,
2013-10-01,326.076,328.2333,,,,,,,,,,,,,,,
2013-11-01,320.527,321.635,,,,,,,,,,,,,,,
2013-12-01,326.72,334.169,,,,,,,,,,,,,,,
2014-01-01,330.891,335.514,,,,,,,,,,,,,,,
2014-02-01,324.416,328.545,,,,,,,,,,,,,,,
2014-03-01,302.448,307.238,,,,,,,,,,,,,,,
2014-04-01,302.584,306.933,,,,,,,,,,,,,,,
2014-05-01,312.248,313.202,,,,,,,,,,,,,,,
2014-06-01,308.719,309.786,,,,,,,,,,,,,,,
2014-07-01,322.255,322.591,,,,,,,,,,,,,,,
2014-08-01,317.54,315.764,,,,,,,,,,,,,,,
2014-09-01,311.719,309.195,,,,,,,,,,,,,,,
2014-10-01,305.685,303.615,,,,,,,,,,,,,,,
2014-11-01,303.958,301.761,,,,,,,,,,,,,,,
2014-12-01,291.34,289.809,,,,,,,,,,,,,,,
2015-01-01,263.802,265.323,,,,,,,,,,,,,,,
2015-02-01,258.642,262.363,,,,,,,,,,,,,,,
2015-03-01,268.792,270.793,,,,,,,,,,,,,,,
2015-04-01,273.447,275.276,,,,,,,,,,,,,,,
2015-05-01,285.791,289.338,,,,,,,,,,,,,,,
2015-06-01,264.608,267.534,,,,,,,,,,,,,,,
2015-07-01,247.521,248.22,,,,,,,,,,,,,,,
2015-08-01,230.83,233.321,,,,,,,,,,,,,,,
2015-09-01,236.235,237.057,,,,,,,,,,,,,,,
2015-10-01,236.894,236.786,,,,,,,,,,,,,,,
2015-11-01,218.098,215.538,,,,,,,,,,,,,,,
2015-12-01,209.968,208.216,,,,,,,,,,,,,,,
2016-01-01,202.427,200.945,,,,,,,,,,,,,,,
2016-02-01,208.447,207.505,,,,,,,,,,,,,,,
2016-03-01,224.417,223.159,,,,,,,,,,,,,,,
2016-04-01,220.043,218.288,,,,,,,,,,,,,,,
2016-05-01,213.567,211.143,,,,,,,,,,,,,,,
2016-06-01,210.042,209.77,,,,,,,,,,,,,,,
2016-07-01,220.255,220.733,,,,,,,,,,,,,,,
2016-08-01,215.829,214.096,,,,,,,,,,,,,,,
2016-09-01,213.514,213.752,,,,,,,,,,,,,,,
2016-10-01,214.646,214.01,,,,,,,,,,,,,,,
2016-11-01,246.902,246.638,,,,,,,,,,,,,,,
2016-12-01,257.017,256.683,,,,,,,,,,,,,,,
2017-01-01,260.245,261.863,,,,,,,,,,,,,,,
2017-02-01,269.504,269.426,,,,,,,,,,,,,,,
2017-03-01,264.06,264.122,,,,,,,,,,,,,,,
2017-04-01,258.442,258.626,,,,,,,,,,,,,,,
2017-05-01,253.626,254.902,,,,,,,,,,,,,,,
2017-06-01,258.524,260.193,,,,,,,,,,,,,,,
2017-07-01,271.185,272.883,,,,,,,,,,,,,,,
2017-08-01,293.845,295.878,,,,,,,,,,,,,,,
2017-09-01,298.609,298.405,,,,,,,,,,,,,,,
2017-10-01,308.324,309.559,,,,,,,,,,,,,,,
2017-11-01,309.603,309.417,,,,,,,,,,,,,,,
2017-12-01,308.495,309.825,,,,,,,,,,,,,,,
2018-01-01,321.157,319.39,,,,,,,,,,,,,,,
2018-02-01,317.596,316.745,,,,,,,,,,,,,,,
2018-03-01,308.251,306.683,,,,,,,,,,,,,,,
2018-04-01,310.191,308.764,,,,,,,,,,,,,,,
2018-05-01,309.43,306.402,,,,,,,,,,,,,,,
2018-06-01,315.464,311.714,,,,,,,,,,,,,,,
2018-07-01,283.413,279.126,,,,,,,,,,,,,,,
2018-08-01,273.959,269.387,,,,,,,,,,,,,,,
2018-09-01,273.064,269.232,,,,,,,,,,,,,,,
2018-10-01,281.948,275.935,,,,,,,,,,,,,,,
2018-11-01,280.91,275.098,,,,,,,,,,,,,,,
2018-12-01,276.429,272.338,,,,,,,,,,,,,,,
2019-01-01,269.072,268.238,,,,,,,,,,,,,,,
2019-02-01,284.774,285.566,,,,,,,,,,,,,,,
2019-03-01,292.614,289.974,,,,,,,,,,,,,,,
2019-04-01,292.345,292.007,,,,,,,,,,,,,,,
2019-05-01,273.44,274.282,,,,,,,,,,,,,,,
2019-06-01,266.187,267.843,,,,,,,,,,,,,,,
2019-07-01,269.427,268.657,,,,,,,,,,,,,,,
2019-08-01,258.91,257.243,,,,,,,,,,,,,,,
2019-09-01,260.61,259.74,,,,,,,,,,,,,,,
2019-10-01,260.493,261.165,,,,,,,,,,,,,,,
2019-11-01,265.791,265.463,,,,,,,,,,,,,,,
2019-12-01,274.987,277.029,,,,,,,,,,,,,,,
2020-01-01,274.387,274.967,,,,,,,,,,,,,,,
2020-02-01,257.933,258.382,,,,,,,,,,,,,,,
2020-03-01,234.901,236.714,,,,,,,,,,,,,,,
2020-04-01,228.985,230.631,,,,,,,,,,,,,,,
2020-05-01,237.402,238.715,,,,,,,,,,,,,,,
2020-06-01,260.47,259.805,,,,,,,,,,,,,,,
2020-07-01,288.202,286.6,,,,,,,,,,,,,,,
2020-08-01,294.685,291.752,,,,,,,,,,,,,,,
2020-09-01,304.47,302.302,,,,,,,,,,,,,,,
2020-10-01,304.033,305.695,,,,,,,,,,,,,,,
2020-11-01,320.392,320.338,,,,,,,,,,,,,,,
2020-12-01,351.772,353.47,,,,,,,,,,,,,,,
2021-01-01,361.536,362.318,,,,,,,,,,,,,,,
2021-02-01,383.751,386.126,,,,,,,,,,,,,,,
2021-03-01,408.459,408.828,,,,,,,,,,,,,,,
2021-04-01,423.454,424.783,,,,,,,,,,,,,,,
2021-05-01,461.937,463.535,,,,,,,,,,,,,,,
2021-06-01,436.013,439.832,,,,,,,,,,,,,,,
2021-07-01,427.901,435.479,,,,,,,,,,,,,,,
2021-08-01,424.435,429.23,,,,,,,,,,,,,,,
2021-09-01,422.933,426.538,,,,,,,,,,,,,,,
2021-10-01,443.545,445.112,,,,,,,,,,,,,,,
2021-11-01,442.955,436.574,,,,,,,,,,,,,,,
2021-12-01,433.195,433.3,,,,,,,,,,,,,,,
2022-01-01,443.429,443.113,,,,,,,,,,,,,,,
2022-02-01,450.932,450.211,,,,,,,,,,,,,,,
2022-03-01,464.369,468.228,,,,,,,,,,,,,,,
2022-04-01,461.899,463.763,,,,,,,,,,,,,,,
2022-05-01,424.69,424.929,,,,,,,,,,,,,,,
2022-06-01,409.736,412.54,,,,,,,,,,,,,,,
2022-07-01,341.545,339.61,,,,,,,,,,,,,,,
2022-08-01,361.104,361.5,,,,,,,,,,,,,,,
2022-09-01,350.84,348.021,,,,,,,,,,,,,,,
2022-10-01,345.693,347.386,,,,,,,,,,,,,,,
2022-11-01,364.233,367.683,,,,,,,,,,,,,,,
2022-12-01,379.429,381.645,,,,,,,,,,,,,,,
2023-01-01,408.224,412.223,,,,,,,,,,,,,,,
2023-02-01,406.201,408.824,,,,,,,,,,,,,,,
2023-03-01,400.782,404.915,,,,,,,,,,,,,,,
2023-04-01,399.796,400.037,,,,,,,,,,,,,,,
2023-05-01,373.501,374.173,,,,,,,,,,,,,,,
2023-06-01,380.393,379.598,,,,,,,,,,,,,,,
2023-07-01,383.83,383.57,,,,,,,,,,,,,,,
2023-08-01,378.83,376.33,,,,,,,,,,,,,,,
2023-09-01,375.16,372.293,,,,,,,,,,,,,,,
2023-10-01,360.137,359.964,,,,,,,,,,,,,,,
2023-11-01,370.764,371.836,,,,,,,,,,,,,,,
2023-12-01,380.75,385.153,,,,,,,,,,,,,,,
2024-01-01,378.491,381.207,,,,,,,,,,,,,,,
2024-02-01,376.969,379.663,,,,,,,,,,,,,,,
2024-03-01,393.52,397.643,,,,,,,,,,,,,,,
2024-04-01,430.116,436.091,,,,,,,,,,,,,,,
2024-05-01,459.447,477.507,,,,,,,,,,,,,,,
2024-06-01,437.336,452.313,,,,,,,,,,,,,,,
2024-07-01,426.085,435.248,,,,,,,,,,,,,,,
2024-08-01,406.587,409.561,,,,,,,,,,,,,,,
2024-09-01,419.777,423.28,,,,,,,,,,,,,,,
2024-10-01,432.693,438.463,,,,,,,,,,,,,,,
2024-11-01,411.625,417.455,,,,,,,,,,,,,,,
2024-12-01,404.583,410.843,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
N.D. Información no disponible / Not Available,,,,,,,,,,,,,,,,,
