anio,pais,pais_nombre,eslabon,sector,sector_nombre,vbp_musd,share_vbp_pct,forward_G_rowsum,forward_rasmussen,backward_rasmussen,rank_forward,rank_backward,n_industrias
2018,MEX,Mexico,L1,B07_08,L1 extraccion (menas metalicas),18673.1,0.901,2.2755,1.5085,0.9041,2,34,45
2018,FIN,Finlandia,L1,B07_08,L1 extraccion (menas metalicas),2077.7,0.403,2.3577,1.3065,0.9579,7,33,45
2018,SWE,Suecia,L1,B07_08,L1 extraccion (menas metalicas),5367.4,0.523,2.192,1.2653,0.9178,6,36,45
2018,BRA,Brasil,L1,B07_08,L1 extraccion (menas metalicas),39989.0,1.216,1.923,0.9923,1.0386,25,21,45
2018,AUS,Australia,L1,B07_08,L1 extraccion (menas metalicas),104872.3,3.961,1.5823,0.8274,0.9405,31,35,45
2018,CHL,Chile,L1,B07_08,L1 extraccion (menas metalicas),48030.3,9.303,1.2446,0.7253,0.9417,36,29,45
2018,PER,Peru,L1,B07_08,L1 extraccion (menas metalicas),28115.7,7.407,1.1139,0.6239,0.9173,39,32,45
2018,CHN,China,L2,C24,L2 refinacion (metales basicos),1747822.5,5.05,3.1631,1.3015,1.1618,9,15,45
2018,CHL,Chile,L2,C24,L2 refinacion (metales basicos),2852.1,0.552,2.1023,1.2252,1.1956,8,6,45
2018,BRA,Brasil,L2,C24,L2 refinacion (metales basicos),60973.0,1.855,2.2976,1.1856,1.2169,14,6,45
2018,MEX,Mexico,L2,C24,L2 refinacion (metales basicos),43519.4,2.099,1.7647,1.1699,1.1738,14,5,45
2018,SWE,Suecia,L2,C24,L2 refinacion (metales basicos),19113.9,1.864,1.8662,1.0772,1.1893,15,3,45
2018,FIN,Finlandia,L2,C24,L2 refinacion (metales basicos),11523.3,2.237,1.9193,1.0636,1.1252,19,8,45
2018,PER,Peru,L2,C24,L2 refinacion (metales basicos),6777.3,1.785,1.7524,0.9815,1.2166,22,3,45
2018,AUS,Australia,L2,C24,L2 refinacion (metales basicos),42011.4,1.587,1.5896,0.8312,1.2769,30,1,45
2018,AUS,Australia,L3,C25,L3 semimanufactura (productos metalicos),22765.3,0.86,2.3727,1.2407,1.1265,10,7,45
2018,BRA,Brasil,L3,C25,L3 semimanufactura (productos metalicos),27849.8,0.847,2.4036,1.2403,1.1855,10,11,45
2018,FIN,Finlandia,L3,C25,L3 semimanufactura (productos metalicos),9322.4,1.81,2.0614,1.1423,1.0699,16,11,45
2018,CHL,Chile,L3,C25,L3 semimanufactura (productos metalicos),4137.4,0.801,1.929,1.1242,1.0062,13,24,45
2018,MEX,Mexico,L3,C25,L3 semimanufactura (productos metalicos),26531.0,1.28,1.6827,1.1156,1.1683,15,6,45
2018,PER,Peru,L3,C25,L3 semimanufactura (productos metalicos),3590.9,0.946,1.8963,1.0621,0.9832,19,25,45
2018,SWE,Suecia,L3,C25,L3 semimanufactura (productos metalicos),17387.5,1.695,1.8335,1.0584,1.0639,17,13,45
2018,CHN,China,L3,C25,L3 semimanufactura (productos metalicos),809810.4,2.34,2.4834,1.0218,1.2584,24,5,45
2020,CHN,China,L1,B07_08,L1 extraccion (menas metalicas),335021.5,0.914,3.75,1.5265,1.1067,3,20,45
2020,MEX,Mexico,L1,B07_08,L1 extraccion (menas metalicas),20512.9,1.145,2.1172,1.423,0.8867,4,35,45
2020,SWE,Suecia,L1,B07_08,L1 extraccion (menas metalicas),5684.6,0.578,2.3286,1.3492,0.9445,5,30,45
2020,FIN,Finlandia,L1,B07_08,L1 extraccion (menas metalicas),2012.4,0.405,2.2431,1.2342,0.9585,9,30,45
2020,AUS,Australia,L1,B07_08,L1 extraccion (menas metalicas),158631.3,6.039,1.7323,0.9069,0.8233,26,40,45
2020,CHL,Chile,L1,B07_08,L1 extraccion (menas metalicas),50459.5,11.431,1.3715,0.786,0.9043,34,31,45
2020,BRA,Brasil,L1,B07_08,L1 extraccion (menas metalicas),36005.6,1.428,1.4584,0.7713,1.0633,31,18,45
2020,PER,Peru,L1,B07_08,L1 extraccion (menas metalicas),24887.0,7.418,1.1134,0.6191,0.9113,39,33,45
2020,CHN,China,L2,C24,L2 refinacion (metales basicos),1878259.7,5.122,3.2171,1.3095,1.1648,7,15,45
2020,CHL,Chile,L2,C24,L2 refinacion (metales basicos),2500.9,0.567,2.1385,1.2256,1.2595,8,5,45
2020,MEX,Mexico,L2,C24,L2 refinacion (metales basicos),37594.6,2.099,1.7346,1.1659,1.1714,12,7,45
2020,BRA,Brasil,L2,C24,L2 refinacion (metales basicos),44133.9,1.75,2.1503,1.1372,1.2431,14,4,45
2020,SWE,Suecia,L2,C24,L2 refinacion (metales basicos),16417.1,1.669,1.8634,1.0797,1.1677,16,7,45
2020,FIN,Finlandia,L2,C24,L2 refinacion (metales basicos),10472.8,2.105,1.8541,1.0202,1.0969,19,7,45
2020,PER,Peru,L2,C24,L2 refinacion (metales basicos),6000.4,1.788,1.7872,0.9938,1.1996,21,4,45
2020,AUS,Australia,L2,C24,L2 refinacion (metales basicos),41672.0,1.587,1.4776,0.7736,1.1994,33,4,45
2020,AUS,Australia,L3,C25,L3 semimanufactura (productos metalicos),23064.5,0.878,2.3618,1.2365,1.0497,10,14,45
2020,BRA,Brasil,L3,C25,L3 semimanufactura (productos metalicos),22314.4,0.885,2.3203,1.2271,1.1355,12,13,45
2020,FIN,Finlandia,L3,C25,L3 semimanufactura (productos metalicos),8950.0,1.799,2.122,1.1676,1.0387,14,13,45
2020,CHL,Chile,L3,C25,L3 semimanufactura (productos metalicos),3513.4,0.796,2.0179,1.1565,1.0248,12,22,45
2020,PER,Peru,L3,C25,L3 semimanufactura (productos metalicos),2728.1,0.813,2.0513,1.1406,0.9949,16,24,45
2020,MEX,Mexico,L3,C25,L3 semimanufactura (productos metalicos),22646.4,1.265,1.656,1.1131,1.169,15,8,45
2020,SWE,Suecia,L3,C25,L3 semimanufactura (productos metalicos),14840.7,1.508,1.8284,1.0594,1.0457,19,15,45
2020,CHN,China,L3,C25,L3 semimanufactura (productos metalicos),870937.1,2.375,2.4798,1.0094,1.2557,23,6,45
