anio,mineral,vol_t,precio_usd_t,valor_prod_usd,share_bloque_pct,anio_completo
2013,silice,2937949.0,55.8,163937554,1.01,si
2014,silice,2548336.0,74.8,190615533,1.37,si
2015,silice,1750548.0,47.3,82800920,0.59,si
2016,silice,2175429.0,35.8,77880358,0.53,si
2017,silice,2355909.0,52.1,122742859,0.75,si
2018,silice,2511246.0,56.1,140880901,0.86,si
2019,silice,2671422.0,46.0,122885412,0.79,si
2020,silice,2514378.0,29.5,74174151,0.44,si
2021,silice,2500000.0,40.8,102000000,0.45,si
2022,silice,2700000.0,45.3,122310000,0.54,si
1992,zinc,294000.0,1290.0,379260000,21.73,si
1993,zinc,369000.0,1020.0,376380000,22.8,si
1994,zinc,381689.0,1090.0,416041010,21.29,si
1995,zinc,363658.0,1230.0,447299340,18.12,si
1996,zinc,377599.0,1130.0,426686870,17.74,si
1997,zinc,379252.0,1420.0,538537840,20.8,si
1998,zinc,395391.0,1130.0,446791830,19.94,si
1999,zinc,362811.0,1180.0,428116980,21.14,si
2000,zinc,392791.0,1230.0,483132930,21.95,si
2001,zinc,428828.0,969.0,415534332,21.41,si
2002,zinc,446104.0,852.0,380080608,20.54,si
2003,zinc,413991.0,895.74,370828298,18.21,si
2004,zinc,426360.0,1160.0,494577600,16.15,si
2005,zinc,455625.0,1480.0,674325000,17.0,si
2006,zinc,468924.0,3500.0,1641234000,25.6,si
2007,zinc,452012.0,3400.0,1536840800,21.85,si
2008,zinc,453588.0,1960.0,889032480,12.92,si
2009,zinc,489766.0,1720.0,842397520,12.89,si
2010,zinc,570000.0,2250.0,1282500000,12.37,si
2011,zinc,631859.0,2340.0,1478550060,8.92,si
2012,zinc,660349.0,2110.0,1393336390,7.86,si
2013,zinc,642542.0,2110.0,1355763620,8.37,si
2014,zinc,660000.0,2360.0,1557600000,11.24,si
2015,zinc,786774.0,2110.0,1660093140,11.77,si
2016,zinc,661188.0,2240.0,1481061120,10.17,si
2017,zinc,671444.0,3070.0,2061333080,12.63,si
2018,zinc,690895.0,3110.0,2148683450,13.11,si
2019,zinc,676677.0,2740.0,1854094980,11.85,si
2020,zinc,688461.0,2440.0,1679844840,9.9,si
2021,zinc,742926.0,3220.0,2392221720,10.53,si
2022,zinc,744341.0,4190.0,3118788790,13.65,si
