mineral,anio,vol_t,fuente
zinc,1993,369000,USGS MYB Table 1 (imagen)
zinc,1994,381689,USGS MYB Table 1 (imagen)
zinc,1995,363658,USGS MYB Table 1 (imagen)
zinc,1996,377599,USGS MYB Table 1 (imagen)
zinc,1997,379252,USGS MYB Table 1 (imagen)
zinc,1998,395391.0,USGS MYB Table 1 (xls 2002)
zinc,1999,362811.0,USGS MYB Table 1 (xls 2002)
zinc,2000,392791.0,USGS MYB Table 1 (xls 2002)
zinc,2001,428828.0,USGS MYB Table 1 (xls 2002)
zinc,2002,446104.0,USGS MYB Table 1 (xls 2002)
zinc,2003,413991.0,USGS MYB Table 1 (xls 2003)
