anio,mineral,etapa,valor_total_usd,destino_principal,share_principal,share_china,share_eua,n_destinos
1994,fluorita,E1 Espato fluor (crudo),15135902.0,Estados Unidos,0.7518,0.0,0.7518,8
1994,fluorita,E2 Fluoroquimica,81006940.0,Estados Unidos,0.7329,0.0,0.7329,11
1994,grafito,E1 Grafito natural,2376785.0,Estados Unidos,0.978,0.0,0.978,5
1994,grafito,E2 Grafito artificial/prep.,16102270.0,Estados Unidos,0.9959,0.0,0.9959,6
1994,grafito,E3 Electrodos/articulos de carbono,19876626.0,Estados Unidos,0.324,0.0,0.324,19
1994,manganeso,E1 Mena/concentrado,3910169.0,Estados Unidos,0.5056,0.0,0.5056,9
1994,manganeso,E2 Ferroaleaciones,32026826.0,Estados Unidos,0.8001,0.0,0.8001,11
1994,manganeso,E3 Quimicos/metal,1691298.0,Estados Unidos,0.3366,0.0,0.3366,14
1994,oro,E1 Mena/concentrado,13441.0,Estados Unidos,0.9368,0.0,0.9368,2
1994,oro,E2 Bruto/semilabrado,78879612.0,Estados Unidos,0.7758,0.0,0.7758,4
1994,oro-plata (manufacturas),E4 Joyeria/orfebreria,71155204.0,Estados Unidos,0.9002,0.0,0.9002,41
1994,plata,E1 Mena/concentrado,23815.0,Estados Unidos,1.0,0.0,1.0,1
1994,plata,E2 Bruto/semilabrado,214312344.0,Estados Unidos,0.4909,0.0,0.4909,13
1994,plomo,E2 Metal en bruto/refinado,32658839.0,Estados Unidos,0.5294,0.0,0.5294,18
1994,plomo,E3 Semimanufacturas,37806.0,Cuba,0.538,0.0,0.462,2
1994,plomo,E4 Manufacturas,1403275.0,Estados Unidos,0.9846,0.0,0.9846,7
1994,silice,E1 Arena silica/cuarzo,382913.0,Costa Rica,0.5982,0.0,0.2023,9
1994,silice,E2 Silicio/ferrosilicio/SiO2,1023489.0,Estados Unidos,0.4864,0.0,0.4864,10
1994,zinc,E1 Mena/concentrado,70061436.0,socio_58,0.5818,0.0,0.064,13
1994,zinc,E2 Metal en bruto/refinado,75922031.0,Estados Unidos,0.7621,0.0,0.7621,14
1994,zinc,E3 Semimanufacturas,37376920.0,Estados Unidos,0.9864,0.0,0.9864,11
1994,zinc,E4 Manufacturas,2722911.0,Estados Unidos,0.915,0.0,0.915,15
1995,barita,E1 Crudo/molido,6854000.0,Estados Unidos,1.0,0.0,1.0,1
1995,barita,E2 Quimicos de bario,4728000.0,Estados Unidos,0.9996,0.0,0.9996,2
1995,cobre,E1 Mena/concentrado,20182000.0,Estados Unidos,1.0,0.0,1.0,1
1995,cobre,E2 Metal en bruto/refinado,581942992.0,Estados Unidos,0.6312,0.0,0.6312,8
1995,cobre,E3 Semimanufacturas,207421000.0,Estados Unidos,0.7795,0.0,0.7795,40
1995,cobre,E4 Manufacturas,23368000.0,Estados Unidos,0.8955,0.0,0.8955,29
