anio,mineral,X_total_usd,X_crudo_usd,X_share_crudo
2002,oro-plata (manufacturas),337614943.0,0.0,0.0
2002,plata,531997574.0,628644.0,0.0012
2002,plomo,6834871.0,690361.0,0.101
2002,silice,6023228.0,339074.0,0.0563
2002,zinc,215680196.0,54149930.0,0.2511
2003,barita,3015329.0,158568.0,0.0526
2003,cobre,419999870.0,55865611.0,0.133
2003,fluorita,133786380.0,39306023.0,0.2938
2003,grafito,120441305.0,1493698.0,0.0124
2003,manganeso,26469855.0,2311065.0,0.0873
2003,oro,156753172.0,0.0,0.0
2003,oro-plata (manufacturas),363424846.0,0.0,0.0
2003,plata,512417661.0,879148.0,0.0017
2003,plomo,19097146.0,11557733.0,0.6052
2003,silice,5438782.0,339166.0,0.0624
2003,zinc,234636036.0,54195655.0,0.231
2004,barita,2252499.0,329427.0,0.1462
2004,cobre,729648054.0,142696018.0,0.1956
2004,fluorita,136356629.0,49277614.0,0.3614
2004,grafito,96839144.0,2862457.0,0.0296
2004,manganeso,34786101.0,2135077.0,0.0614
2004,oro,154210869.0,18333.0,0.0001
2004,oro-plata (manufacturas),545999372.0,0.0,0.0
2004,plata,681282124.0,858138.0,0.0013
2004,plomo,23862543.0,15726602.0,0.659
2004,silice,9770881.0,1346939.0,0.1379
2004,zinc,281127471.0,53150900.0,0.1891
2005,barita,1600552.0,1260125.0,0.7873
2005,cobre,988942906.0,89827731.0,0.0908
2005,fluorita,157033495.0,54291105.0,0.3457
2005,grafito,85497427.0,2735828.0,0.032
2005,manganeso,59836498.0,2686754.0,0.0449
2005,oro,305420820.0,9872.0,0.0
2005,oro-plata (manufacturas),588220322.0,0.0,0.0
2005,plata,712395430.0,651918.0,0.0009
2005,plomo,20777684.0,2012224.0,0.0968
2005,silice,9763372.0,1273196.0,0.1304
2005,zinc,405997136.0,104375797.0,0.2571
2006,barita,1879643.0,1879184.0,0.9998
2006,cobre,1587872648.0,146021267.0,0.092
2006,fluorita,179554536.0,58580333.0,0.3263
2006,grafito,113138566.0,4131235.0,0.0365
2006,manganeso,44056416.0,2469130.0,0.056
2006,oro,1037584610.0,0.0,0.0
2006,oro-plata (manufacturas),587666245.0,0.0,0.0
2006,plata,1224990227.0,1354484.0,0.0011
2006,plomo,38872161.0,10780188.0,0.2773
2006,silice,19130837.0,7263670.0,0.3797
2006,zinc,858663662.0,305744554.0,0.3561
2007,barita,1350339.0,1316217.0,0.9747
2007,cobre,1973613686.0,267223083.0,0.1354
2007,fluorita,206574472.0,79398700.0,0.3844
2007,grafito,121567135.0,3148939.0,0.0259
2007,manganeso,55561199.0,8986533.0,0.1617
2007,oro,1581401676.0,13935741.0,0.0088
2007,oro-plata (manufacturas),582007725.0,0.0,0.0
2007,plata,1420282834.0,2065035.0,0.0015
2007,plomo,160884426.0,43483993.0,0.2703
2007,silice,13680921.0,1563805.0,0.1143
2007,zinc,996231317.0,236420656.0,0.2373
2008,barita,3252793.0,3232802.0,0.9939
