anio,mineral,etapa,flujo,hs,valor_usd
2015,cobre,E1 Mena/concentrado,Exportacion,2603,933983883.0
2015,cobre,E1 Mena/concentrado,Importacion,2603,79571708.0
2016,cobre,E1 Mena/concentrado,Exportacion,2603,1323559500.0
2016,cobre,E1 Mena/concentrado,Importacion,2603,131899433.0
2017,cobre,E1 Mena/concentrado,Exportacion,2603,1568943333.0
2017,cobre,E1 Mena/concentrado,Importacion,2603,202968540.0
2018,cobre,E1 Mena/concentrado,Exportacion,2603,2318095785.0
2018,cobre,E1 Mena/concentrado,Importacion,2603,529371003.0
2019,cobre,E1 Mena/concentrado,Exportacion,2603,2339268612.0
2019,cobre,E1 Mena/concentrado,Importacion,2603,780369161.0
2020,cobre,E1 Mena/concentrado,Exportacion,2603,2878626776.0
2020,cobre,E1 Mena/concentrado,Importacion,2603,1132333334.0
2021,cobre,E1 Mena/concentrado,Exportacion,2603,3420948513.0
2021,cobre,E1 Mena/concentrado,Importacion,2603,404006811.0
2022,cobre,E1 Mena/concentrado,Exportacion,2603,3137587661.0
2022,cobre,E1 Mena/concentrado,Importacion,2603,660205189.0
2023,cobre,E1 Mena/concentrado,Exportacion,2603,3715931601.0
2023,cobre,E1 Mena/concentrado,Importacion,2603,528570456.0
2024,cobre,E1 Mena/concentrado,Exportacion,2603,3718889902.0
2024,cobre,E1 Mena/concentrado,Importacion,2603,1077080598.0
2015,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,727229420.0
2015,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,521537971.0
2016,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,849212300.0
2016,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,544439957.0
2017,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,880701469.0
2017,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,709165802.0
2018,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,903281960.0
2018,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,881905570.0
2019,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,796430490.0
2019,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,869535577.0
2020,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,813642511.0
2020,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,828881738.0
2021,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,966254109.0
2021,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,1631520548.0
2022,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,873308606.0
2022,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,399000027.0
2023,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,284447648.0
2023,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,1185615399.0
2024,cobre,E2 Metal en bruto/refinado,Exportacion,7401;7402;7403;7405,236153249.0
2024,cobre,E2 Metal en bruto/refinado,Importacion,7401;7402;7403;7405,1721661059.0
2015,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,505836887.0
2015,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,1804060147.0
2016,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,439471037.0
2016,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,1615400657.0
2017,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,456944268.0
2017,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,1852285355.0
2018,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,515022778.0
2018,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,2019301355.0
2019,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,488807777.0
2019,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,1833340059.0
2020,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,461341926.0
2020,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,1441095349.0
2021,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,519982902.0
2021,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,2165544665.0
2022,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,627341853.0
2022,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,2451466773.0
2023,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,559389796.0
2023,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,2688805069.0
2024,cobre,E3 Semimanufacturas,Exportacion,7407;7408;7409;7410;7411;7412;7413,551811551.0
2024,cobre,E3 Semimanufacturas,Importacion,7407;7408;7409;7410;7411;7412;7413,2760318391.0
2015,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,53044708.0
2015,cobre,E4 Manufacturas,Importacion,7415;7418;7419,339599551.0
2016,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,58244998.0
2016,cobre,E4 Manufacturas,Importacion,7415;7418;7419,329722817.0
2017,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,71863309.0
2017,cobre,E4 Manufacturas,Importacion,7415;7418;7419,345524237.0
2018,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,57368602.0
2018,cobre,E4 Manufacturas,Importacion,7415;7418;7419,407010351.0
2019,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,61529228.0
2019,cobre,E4 Manufacturas,Importacion,7415;7418;7419,385132787.0
2020,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,53887119.0
2020,cobre,E4 Manufacturas,Importacion,7415;7418;7419,315959308.0
2021,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,78214998.0
2021,cobre,E4 Manufacturas,Importacion,7415;7418;7419,401687485.0
2022,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,84431303.0
2022,cobre,E4 Manufacturas,Importacion,7415;7418;7419,452497706.0
2023,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,78136524.0
2023,cobre,E4 Manufacturas,Importacion,7415;7418;7419,448972895.0
2024,cobre,E4 Manufacturas,Exportacion,7415;7418;7419,84012184.0
2024,cobre,E4 Manufacturas,Importacion,7415;7418;7419,451136600.0
2015,plomo,E1 Mena/concentrado,Exportacion,2607,893177730.0
2015,plomo,E1 Mena/concentrado,Importacion,2607,19654172.0
2016,plomo,E1 Mena/concentrado,Exportacion,2607,780501188.0
2016,plomo,E1 Mena/concentrado,Importacion,2607,16344571.0
2017,plomo,E1 Mena/concentrado,Exportacion,2607,978705634.0
2017,plomo,E1 Mena/concentrado,Importacion,2607,39520177.0
2018,plomo,E1 Mena/concentrado,Exportacion,2607,770645599.0
2018,plomo,E1 Mena/concentrado,Importacion,2607,59846274.0
2019,plomo,E1 Mena/concentrado,Exportacion,2607,739121732.0
2019,plomo,E1 Mena/concentrado,Importacion,2607,53017207.0
2020,plomo,E1 Mena/concentrado,Exportacion,2607,1482644734.0
2020,plomo,E1 Mena/concentrado,Importacion,2607,25062021.0
2021,plomo,E1 Mena/concentrado,Exportacion,2607,833273184.0
2021,plomo,E1 Mena/concentrado,Importacion,2607,0.0
2022,plomo,E1 Mena/concentrado,Exportacion,2607,746165144.0
2022,plomo,E1 Mena/concentrado,Importacion,2607,0.0
2023,plomo,E1 Mena/concentrado,Exportacion,2607,836925906.0
2023,plomo,E1 Mena/concentrado,Importacion,2607,8788092.0
2024,plomo,E1 Mena/concentrado,Exportacion,2607,1092152844.0
2024,plomo,E1 Mena/concentrado,Importacion,2607,0.0
2015,plomo,E2 Metal en bruto/refinado,Exportacion,7801,166257785.0
2015,plomo,E2 Metal en bruto/refinado,Importacion,7801,34652673.0
2016,plomo,E2 Metal en bruto/refinado,Exportacion,7801,120293116.0
2016,plomo,E2 Metal en bruto/refinado,Importacion,7801,41185464.0
2017,plomo,E2 Metal en bruto/refinado,Exportacion,7801,189087197.0
2017,plomo,E2 Metal en bruto/refinado,Importacion,7801,46311606.0
2018,plomo,E2 Metal en bruto/refinado,Exportacion,7801,212767132.0
2018,plomo,E2 Metal en bruto/refinado,Importacion,7801,41419479.0
2019,plomo,E2 Metal en bruto/refinado,Exportacion,7801,190220069.0
2019,plomo,E2 Metal en bruto/refinado,Importacion,7801,33490361.0
2020,plomo,E2 Metal en bruto/refinado,Exportacion,7801,157430330.0
2020,plomo,E2 Metal en bruto/refinado,Importacion,7801,31820608.0
2021,plomo,E2 Metal en bruto/refinado,Exportacion,7801,169751570.0
2021,plomo,E2 Metal en bruto/refinado,Importacion,7801,20357719.0
2022,plomo,E2 Metal en bruto/refinado,Exportacion,7801,197623384.0
2022,plomo,E2 Metal en bruto/refinado,Importacion,7801,27626080.0
2023,plomo,E2 Metal en bruto/refinado,Exportacion,7801,127316957.0
2023,plomo,E2 Metal en bruto/refinado,Importacion,7801,33801842.0
2024,plomo,E2 Metal en bruto/refinado,Exportacion,7801,177590849.0
2024,plomo,E2 Metal en bruto/refinado,Importacion,7801,58671759.0
2015,plomo,E3 Semimanufacturas,Exportacion,7804,132295.0
2015,plomo,E3 Semimanufacturas,Importacion,7804,0.0
2016,plomo,E3 Semimanufacturas,Exportacion,7804,1065391.0
2016,plomo,E3 Semimanufacturas,Importacion,7804,0.0
2017,plomo,E3 Semimanufacturas,Exportacion,7804,789774.0
2017,plomo,E3 Semimanufacturas,Importacion,7804,0.0
2018,plomo,E3 Semimanufacturas,Exportacion,7804,343471.0
2018,plomo,E3 Semimanufacturas,Importacion,7804,0.0
2019,plomo,E3 Semimanufacturas,Exportacion,7804,1169084.0
2019,plomo,E3 Semimanufacturas,Importacion,7804,0.0
2020,plomo,E3 Semimanufacturas,Exportacion,7804,283760.0
2020,plomo,E3 Semimanufacturas,Importacion,7804,0.0
2021,plomo,E3 Semimanufacturas,Exportacion,7804,0.0
2021,plomo,E3 Semimanufacturas,Importacion,7804,1572094.0
2022,plomo,E3 Semimanufacturas,Exportacion,7804,79999.0
2022,plomo,E3 Semimanufacturas,Importacion,7804,825140.0
2023,plomo,E3 Semimanufacturas,Exportacion,7804,0.0
2023,plomo,E3 Semimanufacturas,Importacion,7804,1416236.0
2024,plomo,E3 Semimanufacturas,Exportacion,7804,61346.0
2024,plomo,E3 Semimanufacturas,Importacion,7804,1039853.0
2015,plomo,E4 Manufacturas,Exportacion,7806,1949557.0
2015,plomo,E4 Manufacturas,Importacion,7806,7122679.0
2016,plomo,E4 Manufacturas,Exportacion,7806,2817684.0
2016,plomo,E4 Manufacturas,Importacion,7806,13653640.0
2017,plomo,E4 Manufacturas,Exportacion,7806,1504115.0
2017,plomo,E4 Manufacturas,Importacion,7806,8173859.0
2018,plomo,E4 Manufacturas,Exportacion,7806,990322.0
2018,plomo,E4 Manufacturas,Importacion,7806,8112175.0
2019,plomo,E4 Manufacturas,Exportacion,7806,878243.0
2019,plomo,E4 Manufacturas,Importacion,7806,7354441.0
2020,plomo,E4 Manufacturas,Exportacion,7806,1014870.0
2020,plomo,E4 Manufacturas,Importacion,7806,6802521.0
2021,plomo,E4 Manufacturas,Exportacion,7806,1101224.0
2021,plomo,E4 Manufacturas,Importacion,7806,4284464.0
2022,plomo,E4 Manufacturas,Exportacion,7806,2254570.0
2022,plomo,E4 Manufacturas,Importacion,7806,6993358.0
2023,plomo,E4 Manufacturas,Exportacion,7806,1236869.0
2023,plomo,E4 Manufacturas,Importacion,7806,15123895.0
2024,plomo,E4 Manufacturas,Exportacion,7806,1176433.0
2024,plomo,E4 Manufacturas,Importacion,7806,8185673.0
2015,zinc,E1 Mena/concentrado,Exportacion,2608,365685096.0
2015,zinc,E1 Mena/concentrado,Importacion,2608,3175749.0
2016,zinc,E1 Mena/concentrado,Exportacion,2608,564250705.0
2016,zinc,E1 Mena/concentrado,Importacion,2608,223633.0
2017,zinc,E1 Mena/concentrado,Exportacion,2608,640110077.0
2017,zinc,E1 Mena/concentrado,Importacion,2608,13554993.0
2018,zinc,E1 Mena/concentrado,Exportacion,2608,795496776.0
2018,zinc,E1 Mena/concentrado,Importacion,2608,35979309.0
2019,zinc,E1 Mena/concentrado,Exportacion,2608,655723459.0
2019,zinc,E1 Mena/concentrado,Importacion,2608,32297975.0
2020,zinc,E1 Mena/concentrado,Exportacion,2608,646136225.0
2020,zinc,E1 Mena/concentrado,Importacion,2608,58476613.0
2021,zinc,E1 Mena/concentrado,Exportacion,2608,248335725.0
2021,zinc,E1 Mena/concentrado,Importacion,2608,2788.0
2022,zinc,E1 Mena/concentrado,Exportacion,2608,399116625.0
2022,zinc,E1 Mena/concentrado,Importacion,2608,15709723.0
2023,zinc,E1 Mena/concentrado,Exportacion,2608,245944426.0
2023,zinc,E1 Mena/concentrado,Importacion,2608,0.0
2024,zinc,E1 Mena/concentrado,Exportacion,2608,577061971.0
2024,zinc,E1 Mena/concentrado,Importacion,2608,0.0
2015,zinc,E2 Metal en bruto/refinado,Exportacion,7901,263224660.0
2015,zinc,E2 Metal en bruto/refinado,Importacion,7901,40010130.0
2016,zinc,E2 Metal en bruto/refinado,Exportacion,7901,199503651.0
2016,zinc,E2 Metal en bruto/refinado,Importacion,7901,70221667.0
2017,zinc,E2 Metal en bruto/refinado,Exportacion,7901,289562676.0
2017,zinc,E2 Metal en bruto/refinado,Importacion,7901,55451923.0
2018,zinc,E2 Metal en bruto/refinado,Exportacion,7901,421209847.0
2018,zinc,E2 Metal en bruto/refinado,Importacion,7901,63439674.0
2019,zinc,E2 Metal en bruto/refinado,Exportacion,7901,372975923.0
2019,zinc,E2 Metal en bruto/refinado,Importacion,7901,51957113.0
2020,zinc,E2 Metal en bruto/refinado,Exportacion,7901,337374838.0
2020,zinc,E2 Metal en bruto/refinado,Importacion,7901,33227518.0
2021,zinc,E2 Metal en bruto/refinado,Exportacion,7901,288767583.0
2021,zinc,E2 Metal en bruto/refinado,Importacion,7901,83950373.0
2022,zinc,E2 Metal en bruto/refinado,Exportacion,7901,356460312.0
2022,zinc,E2 Metal en bruto/refinado,Importacion,7901,111980751.0
2023,zinc,E2 Metal en bruto/refinado,Exportacion,7901,337639196.0
2023,zinc,E2 Metal en bruto/refinado,Importacion,7901,97052042.0
2024,zinc,E2 Metal en bruto/refinado,Exportacion,7901,142641025.0
2024,zinc,E2 Metal en bruto/refinado,Importacion,7901,126691395.0
2015,zinc,E3 Semimanufacturas,Exportacion,7903;7904;7905,2498986.0
2015,zinc,E3 Semimanufacturas,Importacion,7903;7904;7905,41284254.0
2016,zinc,E3 Semimanufacturas,Exportacion,7903;7904;7905,763102.0
