anio,pais,pais_nombre,sector,sector_nombre,vbp_musd,share_vbp_pct,backward_L_colsum,forward_G_rowsum,backward_rasmussen,forward_rasmussen,rank_backward,rank_forward,n_industrias
2018,CHL,Chile,B05_06,mineria energeticos,331.2,0.064,1.6924,2.7999,1.0324,1.6317,22,1,45
2018,CHL,Chile,B07_08,mineria no energetica (metales+otra),48030.3,9.303,1.5437,1.2446,0.9417,0.7253,29,36,45
2018,CHL,Chile,B09,servicios apoyo mineria,138.0,0.027,1.5015,2.055,0.916,1.1976,32,9,45
2018,AUS,Australia,B05_06,mineria energeticos,114355.2,4.32,1.5791,1.427,0.8459,0.7462,38,35,45
2018,AUS,Australia,B07_08,mineria no energetica (metales+otra),104872.3,3.961,1.7557,1.5823,0.9405,0.8274,35,31,45
2018,AUS,Australia,B09,servicios apoyo mineria,12015.2,0.454,1.8871,2.222,1.0109,1.1619,23,16,45
2018,FIN,Finlandia,B05_06,mineria energeticos,646.4,0.125,1.6956,2.9309,0.9992,1.6242,20,1,45
2018,FIN,Finlandia,B07_08,mineria no energetica (metales+otra),2077.7,0.403,1.6255,2.3577,0.9579,1.3065,33,7,45
2018,FIN,Finlandia,B09,servicios apoyo mineria,307.4,0.06,1.6731,2.8052,0.986,1.5545,24,2,45
2018,SWE,Suecia,B05_06,mineria energeticos,381.2,0.037,1.8764,2.8926,1.1031,1.6697,11,1,45
2018,SWE,Suecia,B07_08,mineria no energetica (metales+otra),5367.4,0.523,1.5612,2.192,0.9178,1.2653,36,6,45
2018,SWE,Suecia,B09,servicios apoyo mineria,141.0,0.014,2.0757,1.0178,1.2202,0.5875,2,44,45
2018,CHN,China,B05_06,mineria energeticos,614013.3,1.774,2.3477,4.2656,1.0472,1.7551,24,2,45
2018,CHN,China,B07_08,mineria no energetica (metales+otra),311518.7,0.9,2.4851,3.7213,1.1085,1.5312,20,3,45
2018,CHN,China,B09,servicios apoyo mineria,28094.6,0.081,2.6689,5.0287,1.1905,2.0691,12,1,45
2018,BRA,Brasil,B05_06,mineria energeticos,54078.8,1.645,1.806,2.3178,0.9776,1.196,24,12,45
2018,BRA,Brasil,B07_08,mineria no energetica (metales+otra),39989.0,1.216,1.9188,1.923,1.0386,0.9923,21,25,45
2018,BRA,Brasil,B09,servicios apoyo mineria,3328.4,0.101,1.761,3.331,0.9532,1.7189,28,1,45
2018,PER,Peru,B05_06,mineria energeticos,7126.6,1.878,1.7302,2.7695,1.0597,1.5512,17,2,45
2018,PER,Peru,B07_08,mineria no energetica (metales+otra),28115.7,7.407,1.4977,1.1139,0.9173,0.6239,32,39,45
2018,PER,Peru,B09,servicios apoyo mineria,618.4,0.163,1.2465,2.6006,0.7634,1.4566,43,5,45
2020,MEX,Mexico,B05_06,mineria energeticos,32375.1,1.808,1.2779,1.5334,0.8676,1.0306,36,18,45
2020,MEX,Mexico,B07_08,mineria no energetica (metales+otra),20512.9,1.145,1.306,2.1172,0.8867,1.423,35,4,45
2020,MEX,Mexico,B09,servicios apoyo mineria,9287.1,0.519,1.4739,1.285,1.0007,0.8637,21,29,45
2020,CHL,Chile,B05_06,mineria energeticos,167.1,0.038,1.9082,2.7943,1.1433,1.6015,11,1,45
2020,CHL,Chile,B07_08,mineria no energetica (metales+otra),50459.5,11.431,1.5094,1.3715,0.9043,0.786,31,34,45
2020,CHL,Chile,B09,servicios apoyo mineria,118.8,0.027,1.5077,2.1093,0.9033,1.2089,32,9,45
2020,AUS,Australia,B05_06,mineria energeticos,77688.0,2.958,1.8669,1.2166,1.0004,0.6369,25,41,45
2020,AUS,Australia,B07_08,mineria no energetica (metales+otra),158631.3,6.039,1.5366,1.7323,0.8233,0.9069,40,26,45
2020,AUS,Australia,B09,servicios apoyo mineria,12533.6,0.477,1.7758,2.225,0.9515,1.1649,34,16,45
2020,FIN,Finlandia,B05_06,mineria energeticos,626.4,0.126,1.7276,3.0163,1.0046,1.6597,21,1,45
2020,FIN,Finlandia,B07_08,mineria no energetica (metales+otra),2012.4,0.405,1.6484,2.2431,0.9585,1.2342,30,9,45
2020,FIN,Finlandia,B09,servicios apoyo mineria,294.6,0.059,1.7156,2.7901,0.9976,1.5352,23,2,45
2020,SWE,Suecia,B05_06,mineria energeticos,388.3,0.039,1.9471,2.9107,1.1395,1.6864,9,1,45
2020,SWE,Suecia,B07_08,mineria no energetica (metales+otra),5684.6,0.578,1.6138,2.3286,0.9445,1.3492,30,5,45
2020,SWE,Suecia,B09,servicios apoyo mineria,166.5,0.017,2.1415,1.0182,1.2533,0.5899,2,44,45
