anio,pais,pais_nombre,sector,exgr_musd,dva_share,vax_mineria_musd,reproc_domestico_share,crudo_share,foreign_abs_share
1999,MEX,Mexico,B07_08,342.3,0.8974,586.4,0.611,0.389,0.1814
1999,MEX,Mexico,B09,7.4,0.8898,72.4,0.3341,0.6659,0.0538
1999,CHL,Chile,B05_06,1.1,0.8037,12.3,0.5869,0.4131,0.2847
1999,CHL,Chile,B07_08,8469.9,0.8185,4149.7,0.0095,0.9905,0.953
1999,CHL,Chile,B09,4.1,0.8743,2.6,0.0359,0.9641,0.1736
1999,AUS,Australia,B05_06,7023.9,0.9217,6103.5,0.1719,0.8281,0.5908
1999,AUS,Australia,B07_08,5550.1,0.8473,4089.8,0.396,0.604,0.7523
1999,AUS,Australia,B09,20.8,0.9546,774.0,0.3246,0.6754,0.3957
1999,FIN,Finlandia,B05_06,25.7,0.7344,36.5,0.7429,0.2571,0.4069
1999,FIN,Finlandia,B07_08,81.4,0.6999,129.7,0.7667,0.2333,0.5525
1999,FIN,Finlandia,B09,1.1,0.7798,0.8,0.2999,0.7001,0.6139
1999,SWE,Suecia,B05_06,6.1,0.6508,8.8,0.8908,0.1092,0.4113
1999,SWE,Suecia,B07_08,348.5,0.7226,353.6,0.6278,0.3722,0.6936
1999,SWE,Suecia,B09,60.6,0.643,8.8,0.0061,0.9939,0.9852
2000,MEX,Mexico,B05_06,14257.3,0.9756,17775.0,0.2589,0.7411,0.4441
2000,MEX,Mexico,B07_08,405.6,0.8896,666.2,0.5933,0.4067,0.1819
2000,MEX,Mexico,B09,6.5,0.8835,130.8,0.2576,0.7424,0.064
2000,CHL,Chile,B05_06,1.2,0.8092,15.0,0.6371,0.3629,0.2845
2000,CHL,Chile,B07_08,9172.9,0.8348,4969.4,0.0143,0.9857,0.9323
2000,CHL,Chile,B09,5.5,0.8752,3.7,0.0438,0.9562,0.1961
2000,AUS,Australia,B05_06,9315.9,0.921,8138.6,0.1679,0.8321,0.6463
2000,AUS,Australia,B07_08,4845.4,0.8391,4142.2,0.4918,0.5082,0.7503
2000,AUS,Australia,B09,21.9,0.9259,798.2,0.3761,0.6239,0.3896
2000,FIN,Finlandia,B05_06,12.3,0.6519,25.4,0.8304,0.1696,0.4162
2000,FIN,Finlandia,B07_08,87.9,0.6774,119.7,0.7375,0.2625,0.5954
2000,FIN,Finlandia,B09,0.2,0.7482,0.5,0.7817,0.2183,0.4329
2000,SWE,Suecia,B05_06,6.0,0.5448,7.5,0.8888,0.1112,0.3906
2000,SWE,Suecia,B07_08,334.2,0.7082,343.3,0.6408,0.3592,0.7316
2000,SWE,Suecia,B09,53.1,0.633,7.6,0.0177,0.9823,0.9689
2001,MEX,Mexico,B05_06,11206.5,0.9744,15428.4,0.3344,0.6656,0.3605
2001,MEX,Mexico,B07_08,382.0,0.8905,607.8,0.592,0.408,0.1545
2001,MEX,Mexico,B09,4.5,0.8953,137.6,0.3331,0.6669,0.0566
2001,CHL,Chile,B05_06,1.0,0.7962,13.8,0.6498,0.3502,0.301
2001,CHL,Chile,B07_08,8516.3,0.8159,4288.8,0.0155,0.9845,0.9305
2001,CHL,Chile,B09,6.4,0.8589,4.0,0.0318,0.9682,0.2465
2001,AUS,Australia,B05_06,10801.2,0.9244,8699.2,0.1134,0.8866,0.7517
2001,AUS,Australia,B07_08,4984.6,0.8518,3663.5,0.4186,0.5814,0.7407
2001,AUS,Australia,B09,20.8,0.9158,912.2,0.3091,0.6909,0.4691
2001,FIN,Finlandia,B05_06,14.2,0.6718,30.9,0.817,0.183,0.4089
2001,FIN,Finlandia,B07_08,84.6,0.7016,128.0,0.7442,0.2558,0.5805
2001,FIN,Finlandia,B09,0.1,0.7573,0.4,0.8263,0.1737,0.3859
2001,SWE,Suecia,B05_06,4.5,0.5392,6.5,0.9065,0.0935,0.386
2001,SWE,Suecia,B07_08,218.6,0.7011,301.0,0.7293,0.2707,0.7212
2001,SWE,Suecia,B09,53.9,0.612,6.4,0.012,0.988,0.9783
2002,MEX,Mexico,B05_06,12631.5,0.9811,17154.2,0.3115,0.6885,0.3826
2002,MEX,Mexico,B07_08,388.2,0.8889,604.9,0.5778,0.4222,0.1553
2002,MEX,Mexico,B09,4.2,0.8931,179.4,0.314,0.686,0.0628
2002,CHL,Chile,B05_06,0.9,0.8098,13.8,0.6868,0.3132,0.2979
2002,CHL,Chile,B07_08,8100.6,0.8262,4318.5,0.0183,0.9817,0.9219
2002,CHL,Chile,B09,7.7,0.8639,4.9,0.0226,0.9774,0.2959
2002,AUS,Australia,B05_06,11142.2,0.9141,8356.8,0.103,0.897,0.7153
2002,AUS,Australia,B07_08,4819.3,0.8591,4045.1,0.4411,0.5589,0.6999
2002,AUS,Australia,B09,20.2,0.9146,931.1,0.2939,0.7061,0.4501
2002,FIN,Finlandia,B05_06,18.6,0.6742,38.9,0.8112,0.1888,0.4134
2002,FIN,Finlandia,B07_08,94.7,0.6943,138.5,0.745,0.255,0.5828
2002,FIN,Finlandia,B09,0.8,0.7608,0.6,0.3839,0.6161,0.5745
2002,SWE,Suecia,B05_06,0.6,0.5148,6.6,0.9839,0.0161,0.3586
2002,SWE,Suecia,B07_08,246.2,0.6993,327.2,0.7259,0.2741,0.7215
2002,SWE,Suecia,B09,60.9,0.6154,6.9,0.0124,0.9876,0.9765
2003,MEX,Mexico,B05_06,16062.7,0.9687,17462.3,0.1744,0.8256,0.552
2003,MEX,Mexico,B07_08,399.9,0.8813,679.4,0.5863,0.4137,0.1797
2003,MEX,Mexico,B09,3.1,0.8822,260.9,0.179,0.821,0.0871
2003,CHL,Chile,B05_06,0.8,0.8293,20.0,0.7305,0.2695,0.3233
2003,CHL,Chile,B07_08,9659.7,0.8439,5639.3,0.0256,0.9744,0.9061
2003,CHL,Chile,B09,11.2,0.8632,7.1,0.0348,0.9652,0.3226
2003,AUS,Australia,B05_06,12329.9,0.9039,8651.9,0.0969,0.9031,0.7119
2003,AUS,Australia,B07_08,6458.6,0.8584,4807.2,0.4071,0.5929,0.6854
2003,AUS,Australia,B09,21.7,0.9214,1151.8,0.2867,0.7133,0.4477
2003,FIN,Finlandia,B05_06,18.6,0.6654,47.0,0.8413,0.1587,0.3922
2003,FIN,Finlandia,B07_08,106.5,0.6915,173.9,0.7643,0.2357,0.5684
